"","logFC","logCPM","F","PValue","FDR"
"LOC105915840",1.39688416586022,4.34142825087039,102.103957228732,8.15778314069777e-11,4.48514917075563e-07
"LOC105934238",-1.34314913102151,9.31176734298534,82.5183995337882,8.10775233845052e-10,2.22882111784005e-06
"LOC105917590",-2.45035054144901,3.21955707297178,78.6102889100301,1.34680381720831e-09,2.46824246233709e-06
"unassigned_gene_4",-1.48403482659623,5.31007366450227,61.2022582450254,1.67043501939045e-08,1.80584472812989e-05
"kdm5bb",0.982053435058687,3.42182247541833,60.7248400241066,1.80222725475323e-08,1.80584472812989e-05
"per1b",1.99824310388229,4.4534901752557,60.1662665656483,1.97072905943604e-08,1.80584472812989e-05
"zcchc24",1.10042396632732,4.15688622094874,56.5066492228434,3.59209999588708e-08,2.03416839244916e-05
"ND3",-3.08713046117714,6.7198383091008,56.4973805475086,3.77502229960107e-08,2.03416839244916e-05
"pdia3",1.70993589680346,8.26501949777987,55.9186690132545,3.96564536479747e-08,2.03416839244916e-05
"psmd7",0.966466303410544,4.65116857646071,55.6532444054973,4.14772968485284e-08,2.03416839244916e-05
"get3",1.26604096961915,3.74545248753804,55.4827563086502,4.26940161483062e-08,2.03416839244916e-05
"pcyt1aa",-1.06207504121994,5.83682323577316,55.2215550832469,4.46329671711845e-08,2.03416839244916e-05
"gramd2b",1.51607296742525,5.04302344254151,54.7837530518279,4.80978339429594e-08,2.03416839244916e-05
"LOC105926958",1.0366979030577,5.67374212112066,52.9232860877507,6.63898897333024e-08,2.46949728023491e-05
"vkorc1",-1.44780335401668,5.11210325507476,52.8393454404526,6.73744256157214e-08,2.46949728023491e-05
"LOC105930414",-1.57684786064246,2.97376094280445,52.3715427038288,7.31559165384507e-08,2.47517327435544e-05
"col1a1a",-3.00784310587505,3.47294076131408,52.407970271786,7.653318600226e-08,2.47517327435544e-05
"LOC105920693",1.00148322527966,5.96847750818914,51.4374956041634,8.63541627492628e-08,2.63763992664137e-05
"ND4L",-1.56093987141679,5.60224848038714,47.9400364428237,1.63670150097888e-07,4.7360972907273e-05
"LOC118556360",1.54159647614516,3.99630615030959,47.454248646556,1.79299031520807e-07,4.8052729796874e-05
"LOC105933085",1.82323517742622,8.13301051347029,47.3302207542948,1.83540801334004e-07,4.8052729796874e-05
"utrn",-1.17384469010704,5.40674524198054,46.571251064213,2.11958420300234e-07,5.29703361277585e-05
"LOC118561484",1.97895859332945,5.7252687895879,45.5734727210809,2.56712055775289e-07,5.95348454319856e-05
"tardbp",0.968601741960006,4.33685473081057,45.5100032763536,2.59882919310232e-07,5.95348454319856e-05
"col1a1b",-3.36146608673072,3.50231911717335,45.5090293139376,2.90909221257106e-07,6.2595918397204e-05
"polr3k",-1.96898604712802,4.32093776150577,44.840418927285,2.960156199213e-07,6.2595918397204e-05
"LOC105931721",1.66884359050803,5.00063041933024,44.5028489404651,3.16243449839031e-07,6.43965365635182e-05
"dst",1.41950584976421,4.62068069030864,44.1266147559757,3.40549056693405e-07,6.68692397750121e-05
"s100a10a",-2.26007221446104,3.20662179015101,43.4996550946372,3.85616461557147e-07,7.31075622634894e-05
"acacb",1.16125659589108,6.21760096427711,43.3033722967117,4.01009363053671e-07,7.34916492689694e-05
"map1lc3a",1.09839622240026,5.97253647314919,42.4319652363102,4.77761954658427e-07,8.47333944100656e-05
"col1a2",-2.83420875950345,3.99515266683091,42.7399791691068,4.95595580780975e-07,8.51495157229312e-05
"alg5",1.14922907551059,5.12561423059614,41.7525289091455,5.48519992290075e-07,9.12517330486553e-05
"anxa1a",-2.31274843651426,3.9415644944206,41.7314602311096,5.64306824964402e-07,9.12517330486553e-05
"LOC105926764",2.59219860064157,2.69331545287338,41.2929234033994,6.02713488893831e-07,9.26105965330309e-05
"LOC105916972",1.46334689781219,4.41124092354551,41.2632940210339,6.06398958746656e-07,9.26105965330309e-05
"atg3",-0.882559269080573,5.86212206398843,40.6982095105595,6.81518528800346e-07,0.000101269969495792
"thap4",-1.56270380544534,6.31156276180789,40.385548051405,7.27322381434e-07,0.000105232064555898
"LOC105917297",-1.41641787262304,7.85609193772328,40.0523074762844,7.79800558403773e-07,0.000107886729108318
"tnip1",1.23296027390012,4.01452478701357,39.9822651965597,7.91339045370953e-07,0.000107886729108318
"LOC105928369",1.61774166565045,3.99437530584644,39.903468117874,8.04539085747733e-07,0.000107886729108318
"hsp90b1",2.41807379258125,7.58860262483025,39.195130133566,9.51664009779618e-07,0.000122789577818355
"ilf3b",1.32147414501926,3.31774405229761,39.0545494690204,9.62728111225134e-07,0.000122789577818355
"uggt1",1.25927851861859,4.91204248424359,38.9582729842739,9.8267395853176e-07,0.000122789577818355
"lmbrd2b",1.48834907853325,5.38597989098327,38.6231004634063,1.05564492029912e-06,0.000128504269815591
"psmc5",0.845605899043977,4.87849138644541,38.537694789109,1.07515394898457e-06,0.000128504269815591
"LOC105916936",-2.7528836501818,4.97614004573618,38.8226526895645,1.106310880486e-06,0.00012941483448749
"psmc1b",1.09731372499093,4.84875643412,38.2949092326813,1.13275622332382e-06,0.00012974778574655
"LOC105934524",-0.952278433769805,3.87862011402298,37.8354940173483,1.2510180694942e-06,0.000140369333593451
"LOC105917706",4.09124302027906,9.11359733616408,38.5247622581504,1.31612986826915e-06,0.000142824755340151
"ap2a1",1.05466536898969,4.71151544289186,37.522434239383,1.33915741459769e-06,0.000142824755340151
"calm1a",1.10538704686294,6.00437573573396,37.4826250010083,1.35083435389012e-06,0.000142824755340151
"zgc:194242",-1.27755798582596,4.67360763916822,37.3494112496166,1.39071009099184e-06,0.000144266492080625
"mgll",-2.2720254631504,5.65362359353413,37.3277818412971,1.42176066404812e-06,0.000144756298721047
"sybu",1.4838313758064,4.69008977259316,37.0784716121411,1.47576285576367e-06,0.000144980943076072
"sumo3b",0.95224584437697,3.44948055603366,37.0755601141243,1.47670658644234e-06,0.000144980943076072
"nsun5",-1.04625193418194,3.87708182665984,36.7652305460092,1.58110726236769e-06,0.000148906438459189
"eif4g1a",0.896471791186548,5.61992232296274,36.6989616248694,1.60441148860181e-06,0.000148906438459189
"cops7a",0.862716057207872,4.54581282317394,36.680701460776,1.61089745845284e-06,0.000148906438459189
"LOC105934403",-1.73205621072394,7.61372364256744,36.641199878418,1.6250247922065e-06,0.000148906438459189
"mta2",1.26349425724819,2.80346662363533,36.4402880320693,1.69896613979976e-06,0.000153129767813427
"LOC105917954",1.63507993487485,3.98927172415444,36.3560595373517,1.73103144806337e-06,0.000153503401636329
"LOC105931062",1.07280834001683,4.17191696821458,36.070277671071,1.84475743904571e-06,0.000160991688886878
"LOC105931421",-3.01646303283752,7.29344012592289,36.1932981371538,1.95907897086135e-06,0.000168297127840558
"hnf1a",1.06449022659571,5.09958503163875,35.410797582399,2.13896364531644e-06,0.000180923417260766
