"","logFC","logCPM","F","PValue","FDR"
"LOC105934238",-1.75276565264506,9.31176734298534,137.379293882379,2.80943761172632e-12,1.54462879892713e-08
"col1a1a",-4.53575204391898,3.47294076131408,106.005686164,5.93275634323987e-11,1.63091471875664e-07
"col1a2",-4.36623229076574,3.99515266683091,90.3353418472317,3.78839203121609e-10,5.14626153792221e-07
"LOC105915829",2.12135109095657,5.38527395435069,84.203922279228,6.55053168948722e-10,5.14626153792221e-07
"LOC118556018",2.76238926245628,6.08538576877004,83.9929083215036,6.72658521903389e-10,5.14626153792221e-07
"LOC118561484",2.73613681609812,5.7252687895879,82.721911347877,7.90025446084768e-10,5.14626153792221e-07
"LOC105915840",1.22941424852839,4.34142825087039,82.1651223635916,8.4819522561518e-10,5.14626153792221e-07
"LOC105931120",2.16356100475055,3.1747858814217,81.7987677343573,8.88963833360908e-10,5.14626153792221e-07
"flot1b",-1.09275486826492,5.72770692039055,81.631995598453,9.0821392297241e-10,5.14626153792221e-07
"LOC105926958",1.27744079563733,5.67374212112066,80.8620895225861,1.00306203654039e-09,5.14626153792221e-07
"thap4",-2.25040027343829,6.31156276180789,80.6604067709515,1.02962671729982e-09,5.14626153792221e-07
"anxa1a",-3.29851135597087,3.9415644944206,79.8241821917367,1.20150568200466e-09,5.50489853305134e-07
"psmd7",1.12802695931771,4.65116857646071,77.1545441684806,1.63497036168021e-09,6.28202567993929e-07
"ilf3b",1.88486519211418,3.31774405229761,76.8833730651955,1.69561143472813e-09,6.28202567993929e-07
"LOC105934403",-2.58523875363763,7.61372364256744,76.8036155047398,1.71390296833557e-09,6.28202567993929e-07
"LOC105931421",-4.66656064041612,7.29344012592289,74.6616236304508,2.75234588258346e-09,9.14986603974504e-07
"col1a1b",-4.41069875182496,3.50231911717335,74.4583047593668,2.82916920108522e-09,9.14986603974504e-07
"psmc5",1.14848833491517,4.87849138644541,71.6210376503896,3.50578685273166e-09,1.07082311757326e-06
"LOC105937542",1.53983826227856,6.3935210894239,71.0160899586791,3.82061093709981e-09,1.1005031429903e-06
"rhag",-2.6749450084974,2.73056954614796,70.6891060673538,4.00328535100146e-09,1.1005031429903e-06
"krt18a.1",-1.87966132536623,8.77572691345401,68.0053386768066,5.90926834034163e-09,1.4817699083245e-06
"psmd3",1.01573787089924,5.28388925646865,67.7479099285107,6.13773643703135e-09,1.4817699083245e-06
"egln3",8.7364662839014,5.09577000807087,70.5170791810409,6.30290913710854e-09,1.4817699083245e-06
"dnajb1b",3.43880047487061,3.62536574324824,67.9450393056693,6.46825714801526e-09,1.4817699083245e-06
"LOC105916936",-3.79592008412486,4.97614004573618,68.0116383717164,6.91741716852173e-09,1.5212783837013e-06
"LOC105917297",-1.84228287681192,7.85609193772328,66.1684374515765,7.76405760571019e-09,1.64179956600749e-06
"LOC105927192",-4.20001471476958,4.3778173257376,67.4421776154446,8.09227682538612e-09,1.64782733281381e-06
"s100a10a",-2.78023826421498,3.20662179015101,65.6304931325791,8.41889639654539e-09,1.65311044243595e-06
"LOC105929189",-1.16599404332429,6.8249503114312,65.1518864218027,9.05141319282632e-09,1.71602309428135e-06
"canx",1.22414955327033,7.30880582786847,64.4580721949078,1.00604770543247e-08,1.84375009482256e-06
"dcn",-2.12001896452094,4.8468676529344,63.3978705361768,1.18425340007063e-08,2.10033070760914e-06
"psmc1b",1.40152102228212,4.84875643412,62.9912352553557,1.26134121892421e-08,2.16714188176416e-06
"hnf1a",1.41515754069512,5.09958503163875,62.2201223870021,1.42270307610172e-08,2.37030954921431e-06
"LOC105940281",-0.827448892743808,8.87770995435734,61.3833040483242,1.62319298952272e-08,2.61430269014491e-06
"adnpa",-1.18026489568879,4.66520403225077,61.1115335771745,1.69466131342511e-08,2.61430269014491e-06
"pdia3",1.789610442223,8.26501949777987,61.0481782521843,1.71180241624621e-08,2.61430269014491e-06
"mgll",-2.92384560821171,5.65362359353413,59.4629791199319,2.27064281589898e-08,3.24684073154652e-06
"colec11",-1.46905360893516,3.86353548706387,59.2255602265972,2.29388901739081e-08,3.24684073154652e-06
"ATP8",-2.49019657638303,6.95672116258519,59.2007589359067,2.30314275246115e-08,3.24684073154652e-06
"zfand2a",2.11623439658734,3.24827108452282,58.9890277295085,2.38379198430797e-08,3.27652208243131e-06
"LOC105938334",0.950189912536882,4.58870072520779,58.3604690094165,2.64157440751912e-08,3.4965174574733e-06
"mibp2",-2.24409580663773,7.08209529938516,58.2928466199262,2.67103916358455e-08,3.4965174574733e-06
"slc27a1a",-1.84449578083574,3.44720991595111,57.206292758462,3.19610348299246e-08,4.08655277895175e-06
"LOC105920835",-1.19982519917167,7.67174422494528,56.8611194200971,3.3852755630321e-08,4.23005569217057e-06
"cahz",-3.10270909309093,3.03147696906093,56.5168896884984,3.58593848023826e-08,4.38121994763332e-06
"bhlhe40",2.85053267262451,3.52217785411867,56.3841059545773,3.76654068682699e-08,4.50183493395104e-06
"apoc4",-2.22564750208699,9.04937754732597,55.3088647085421,4.39745460345833e-08,5.14408625740721e-06
"LOC105930414",-1.58856232828848,2.97376094280445,54.9914334395906,4.64195490180252e-08,5.31697251043963e-06
"apoa2",-1.03052772031406,15.8964141554596,54.7540017423587,4.83435372692351e-08,5.42434220216846e-06
"ahr2",1.2835929459293,4.82787999230551,54.5526786051331,5.00419638822004e-08,5.50261434848676e-06
"asmt",-3.23216792345916,3.96395326046702,55.0909378847884,5.14178150721117e-08,5.54304210326412e-06
"LOC105935303",-1.96576289286519,4.64024008612607,54.0446335817924,5.46190912313784e-08,5.59087700956581e-06
"ints2",2.1615584564413,2.96236036864131,54.0193202834198,5.48585890517156e-08,5.59087700956581e-06
"si:dkey-91i10.3",1.28608942921332,7.43547455421209,53.9841773496638,5.51929573135811e-08,5.59087700956581e-06
"ptp4a1",1.43194900311493,3.93939276173621,53.9076041578659,5.59291079530956e-08,5.59087700956581e-06
"LOC105937306",-3.40535229314223,2.83501594939434,53.5706016999267,5.92964017188116e-08,5.82163601160761e-06
"col6a1",-2.5175028059987,3.23228970230783,53.271636042281,6.2465946743204e-08,6.0252241262129e-06
"tal1",-2.37450786729114,3.2839217654017,52.4117243714722,7.2639018966113e-08,6.81342779998711e-06
"LOC105937207",2.45748553326234,4.049375967639,52.4848502866086,7.32315304472459e-08,6.81342779998711e-06
"si:ch1073-459j12.1",-2.67501695495017,2.82653532116877,52.279465023253,7.43553415786152e-08,6.81342779998711e-06
"LOC105931721",1.80223701547886,5.00063041933024,52.1578535873075,7.59719040263502e-08,6.84743489076842e-06
"unassigned_gene_4",-1.34845685278613,5.31007366450227,51.6365882116892,8.33405754875761e-08,7.39042716178537e-06
