"","logFC","logCPM","F","PValue","FDR"
"LOC105915840",1.3794395107825,4.34142825087039,99.9990812962667,1.02607234148088e-10,5.64134573346185e-07
"LOC105934238",-1.37126256316946,9.31176734298534,85.9023982397182,5.301018154005e-10,1.45724989053597e-06
"psmd7",1.11612444266559,4.65116857646071,74.244229107944,2.42922556381176e-09,3.77820807506645e-06
"LOC118561484",2.55802311993123,5.7252687895879,73.3527231740912,2.7487872499574e-09,3.77820807506645e-06
"msra",1.46018012989184,4.24465214574072,69.7229587904824,4.59993818109933e-09,5.05809202393683e-06
"LOC105926958",1.10995021871753,5.67374212112066,60.6424308320189,1.82608391438476e-08,1.67330156021457e-05
"nsfl1c",1.25589910471581,4.63003891488977,58.2035099845581,2.71050687424827e-08,1.73517674083104e-05
"psmc5",1.03762592740935,4.87849138644541,57.884804357925,2.85648150143714e-08,1.73517674083104e-05
"nectin1b",-2.20397214982092,3.86344051395393,57.2736807801091,3.16051185497943e-08,1.73517674083104e-05
"LOC118556360",1.68571138423346,3.99630615030959,56.7761160520984,3.43368118916814e-08,1.73517674083104e-05
"flot1b",-0.909229517668114,5.72770692039055,56.7103935702741,3.47161588743934e-08,1.73517674083104e-05
"psmd3",0.925523413898201,5.28388925646865,55.9385041023415,3.95238681584026e-08,1.81085189279081e-05
"map1lc3a",1.25086332185382,5.97253647314919,54.7597535212947,4.82959310390167e-08,1.99391701496846e-05
"txnl1",1.02625437746931,3.98357568951383,53.9751207314551,5.52794804534368e-08,1.99391701496846e-05
"psmd13",1.22263812747558,3.69157578631274,53.9013402223631,5.59897916445371e-08,1.99391701496846e-05
"LOC105940386",1.21889593003343,3.84885924051496,53.3830326161357,6.12642138349149e-08,1.99391701496846e-05
"psmc1b",1.28813066948045,4.84875643412,52.59945740062,7.02753797788016e-08,1.99391701496846e-05
"ubl3a",1.86360788113026,5.66223054149626,52.4969660131496,7.15553912861121e-08,1.99391701496846e-05
"psmd2",1.28012537402827,5.09675043398711,52.4728405016522,7.18603149704508e-08,1.99391701496846e-05
"h3f3c",-0.921261314949043,4.58036020047025,52.4200468657143,7.2532448707474e-08,1.99391701496846e-05
"pdia3",1.62497605843115,8.26501949777987,50.7569309391448,9.75705957624912e-08,2.4857537780238e-05
"psme3",1.29307464063535,3.97412884145953,50.5285394306637,1.01677051621667e-07,2.4857537780238e-05
"mak16",1.40933405941141,3.96353517458169,50.4043454723315,1.03987517087209e-07,2.4857537780238e-05
"mbtps1",1.08961464417432,4.41090049144281,48.4320028466282,1.49321546675697e-07,3.28696635641891e-05
"tdo2a",0.982731156798918,11.9357438962778,48.4269482692295,1.49461911441383e-07,3.28696635641891e-05
"cops7a",0.985737786963794,4.54581282317394,47.8972345389944,1.64986650720052e-07,3.48883309868788e-05
"ftsj3",1.22772976868637,3.97281119788446,47.688021840945,1.71587109044739e-07,3.4940219463999e-05
"polr1g",1.61532915454161,3.27092578131326,46.6203711145086,2.09983283453827e-07,4.1231717586755e-05
"get3",1.14415491174684,3.74545248753804,45.7220714185888,2.49449383685458e-07,4.59634007809298e-05
"psmb3",0.962786783019826,5.1231395854618,45.6940749838463,2.50800659044724e-07,4.59634007809298e-05
"tnip1",1.29792701584052,4.01452478701357,44.563651234336,3.12493317081883e-07,5.54222018489094e-05
"lmbrd2b",1.59330288644403,5.38597989098327,44.0830677099931,3.43489134047205e-07,5.70631480996102e-05
"LOC105930414",-1.42273600391698,2.97376094280445,43.7948197408038,3.63650076548518e-07,5.70631480996102e-05
"psma5",1.48319548128397,3.89135801297113,43.789357570714,3.64044160382373e-07,5.70631480996102e-05
"bdh2",-1.08063276350465,4.61660967789687,43.5706427534447,3.80206562405976e-07,5.70631480996102e-05
"abcf3",1.57645449244046,3.25886509794425,43.5577855428143,3.81180328169426e-07,5.70631480996102e-05
"LOC105930605",-0.831536039583907,10.1999267943979,43.3952197354155,3.93726008989511e-07,5.70631480996102e-05
"rab11a",1.00405462938475,3.87629333212708,43.3215413433612,3.99557200919637e-07,5.70631480996102e-05
