"","logFC","logCPM","F","PValue","FDR"
"LOC105934238",-1.53034948892065,9.31176734298534,106.039244428221,5.36598496842346e-11,2.95021853563922e-07
"ilf3b",1.98010748902011,3.31774405229761,82.7153078080557,7.90689722562307e-10,2.17360604732378e-06
"LOC105915840",1.16439416440967,4.34142825087039,72.8666445437154,2.94176823266928e-09,5.3912805810719e-06
"LOC118561484",2.44974666370242,5.7252687895879,67.4409430912722,6.42261934475937e-09,8.82789028937176e-06
"si:dkey-91i10.3",1.41508165696712,7.43547455421209,64.8734216257965,9.44272447249354e-09,1.03832198299539e-05
"col1a1a",-3.37677727737523,3.47294076131408,62.8702161178861,1.36703477570499e-08,1.25265953280434e-05
"psmd3",0.960242418960048,5.28388925646865,60.2877511440189,1.9326941588107e-08,1.36944909255629e-05
"LOC105915829",1.77794430246541,5.38527395435069,60.0973854646021,1.99265055301024e-08,1.36944909255629e-05
"canx",1.16986945800652,7.30880582786847,58.9326315562184,2.40578057070765e-08,1.43120810093739e-05
"LOC105927192",-3.93387668577554,4.3778173257376,59.1568259203312,2.84547515069452e-08,1.43120810093739e-05
"col1a2",-3.40529462643963,3.99515266683091,58.0282932878032,3.19391491864294e-08,1.43120810093739e-05
"LOC105916972",1.71104569312036,4.41124092354551,56.8140701118476,3.41197695418117e-08,1.43120810093739e-05
"LOC105934403",-2.18816344366923,7.61372364256744,56.5535180870408,3.56399238912235e-08,1.43120810093739e-05
"pdia3",1.71713657274542,8.26501949777987,56.4204768922937,3.64440040253247e-08,1.43120810093739e-05
"hnf1a",1.33805205299407,5.09958503163875,55.4410679693824,4.29973198970112e-08,1.51095938268394e-05
"LOC105926958",1.05393260950209,5.67374212112066,55.3093157819982,4.39711715586451e-08,1.51095938268394e-05
"krt18a.1",-1.6693766873097,8.77572691345401,54.2978605994862,5.22840022473431e-08,1.69092614326995e-05
"psmc5",0.980477407206399,4.87849138644541,52.0415485479392,7.75532322160847e-08,2.3688203929113e-05
"LOC105938334",0.88443108119501,4.58870072520779,50.0774765492789,1.10341886774951e-07,3.15170840983957e-05
"LOC105929189",-1.01864536083257,6.8249503114312,49.8671856453441,1.1464926918296e-07,3.15170840983957e-05
"fzd9b",1.90107684370067,5.17375243743242,49.3442027760897,1.26163205336559e-07,3.22142418790037e-05
"hint1",-1.04383910405434,5.15615286415593,49.2272582846937,1.28903841640248e-07,3.22142418790037e-05
"dcn",-1.82359963373215,4.8468676529344,47.0301670847282,1.94254344535424e-07,4.30900568446102e-05
"flot1b",-0.824674742665412,5.72770692039055,46.6550553229456,2.08600512909034e-07,4.30900568446102e-05
"psmd7",0.878304239901543,4.65116857646071,46.5971719931723,2.10913658079256e-07,4.30900568446102e-05
"gch2",-2.04271894195481,6.03119188808955,46.4078962836305,2.18671608546772e-07,4.30900568446102e-05
"LOC105930414",-1.48249386840281,2.97376094280445,46.252345013733,2.25276440293625e-07,4.30900568446102e-05
"ube2e1",1.11319303074912,3.73182944830021,45.8381720139644,2.43928443583811e-07,4.30900568446102e-05
"LOC105940202",1.50324023854889,6.56465039530653,45.7983175706307,2.45808725980185e-07,4.30900568446102e-05
"col1a1b",-3.39131880453675,3.50231911717335,46.3372143953899,2.48598752500572e-07,4.30900568446102e-05
"ralgapa2",1.60381966924516,4.22686744021277,45.7293969875157,2.49097098348252e-07,4.30900568446102e-05
"slc27a6",1.18875947680576,6.36486058833441,45.6941509020227,2.50796984181071e-07,4.30900568446102e-05
"nectin1b",-1.96103670498017,3.86344051395393,45.2152119453288,2.75171127045969e-07,4.58451774696588e-05
"LOC118556360",1.42203558855788,3.99630615030959,42.1058314932524,5.10419917118968e-07,7.95518935240827e-05
"bmp1a",0.970533295962794,8.20309077431959,41.84880740543,5.37843890709426e-07,7.95518935240827e-05
"map1lc3a",1.08843361327768,5.97253647314919,41.789758095764,5.44365018090861e-07,7.95518935240827e-05
"psmc1b",1.14043738523959,4.84875643412,41.7656223752592,5.47054826868785e-07,7.95518935240827e-05
"LOC105917706",4.37051671997508,9.11359733616408,42.8141688836512,5.5328992919032e-07,7.95518935240827e-05
"kiaa1143",1.14393255241584,3.97844573731365,41.6138395459623,5.64300445150823e-07,7.95518935240827e-05
"ppa1b",-1.41716670422971,6.28517182424701,41.3992633068323,5.89682932086042e-07,8.10519190152265e-05
"LOC105915764",-2.78792275603738,4.75091324284646,41.3404116758638,6.48883649411199e-07,8.61826280360273e-05
"s100a10a",-2.18859220713055,3.20662179015101,40.792416684364,6.68331762239575e-07,8.61826280360273e-05
"kif16ba",1.1571038523482,4.17709728423794,40.6419047297148,6.89532912262631e-07,8.61826280360273e-05
"si:ch73-281n10.2",-2.07895293437336,3.5128807396204,40.6406557834664,6.89711828589524e-07,8.61826280360273e-05
"psmd2",1.10407338772865,5.09675043398711,39.6049962451773,8.56722014037017e-07,0.000102662415678537
"nsfl1c",1.02692287048126,4.63003891488977,39.5927264408878,8.58943456022679e-07,0.000102662415678537
"LOC105932451",-1.16709829847627,3.87430712427011,38.3357748769221,1.1228333722469e-06,0.000124921377874854
"LOC105937564",-1.25149085009723,3.9032423517202,38.3310375045543,1.12397889051497e-06,0.000124921377874854
"LOC105937207",2.0915791147865,4.049375967639,38.3825984851621,1.12843695395729e-06,0.000124921377874854
"lonrf1",1.52865203824379,3.24294232846735,38.2813801504931,1.13606200322712e-06,0.000124921377874854
"uggt1",1.23966946273006,4.91204248424359,37.9646782943951,1.21647996520504e-06,0.000130395007016727
"LOC105937542",1.11539723625825,6.3935210894239,37.9013781552785,1.23327398415239e-06,0.000130395007016727
"sdha",0.946190250882959,5.56928002260527,37.5721200850502,1.32473516009141e-06,0.000137422526607218
"slc30a5",1.08386066934111,3.23726430951826,37.4330163987998,1.36553877763562e-06,0.000139032077767419
"LOC105917297",-1.35726884952762,7.85609193772328,36.8783964864678,1.54214665305503e-06,0.000152494558103905
"psmb1",0.891699366865779,6.1720028222647,36.8458745510073,1.553236677668e-06,0.000152494558103905
"pah",1.07134121877788,9.64245326669844,36.4409275950163,1.69872511379682e-06,0.000163852467993946
"LOC105940386",0.996559706197947,3.84885924051496,36.2133415499918,1.7868551459552e-06,0.000166590258890774
"get3",1.00473442535375,3.74545248753804,36.2068120490742,1.7894549211031e-06,0.000166590258890774
"wu:fj16a03",1.38258979487624,10.4703936232358,36.1357584312047,1.81800937312594e-06,0.000166590258890774
"psma5",1.32206565523991,3.89135801297113,35.9832881373098,1.88094658170094e-06,0.00016902979015524
"thap4",-1.46689483870799,6.31156276180789,35.9238304670515,1.90611985988084e-06,0.00016902979015524
"elovl5",-2.4828227911982,8.04714106477606,35.8746602220079,2.01015777395523e-06,0.000175426149860411
"xrn2",1.32045795205088,4.06494245133246,35.4629611166108,2.113950784083e-06,0.00018160158454513
"creb3l3l",-1.3080157958155,4.74612424246986,35.3147856246443,2.18583628656961e-06,0.000184888121593226
"sc5d",-1.30218385295078,5.61131083814308,35.2191337680125,2.23363083965217e-06,0.000186068217521327
"vkorc1",-1.17602431536807,5.11210325507476,35.0364469832972,2.32805927006577e-06,0.00019042957002345
"ca4a",-1.04169280366974,3.65618082430379,34.9705744912318,2.36315119996443e-06,0.00019042957002345
"anxa1a",-2.10531539595747,3.9415644944206,35.0080356924448,2.38989456740961e-06,0.00019042957002345
"gk5",1.01074547776022,6.00545616305829,34.5627315163766,2.59345617127348e-06,0.000203697457566594
"LOC105938313",0.96374499673926,4.07404712896241,34.375092731144,2.70740232396738e-06,0.000209652084185531
"LOC105920693",0.812319601234513,5.96847750818914,34.1731677226046,2.83605237647688e-06,0.000212614296625964
"psmd8",1.132563557428,3.80238965656948,34.1490338436897,2.85186201614744e-06,0.000212614296625964
"zgc:64106",1.40524594757966,6.8033543174342,34.0944961239477,2.8879380513616e-06,0.000212614296625964
"nt5dc2",-0.969565264141286,5.08053045033932,34.0759154548343,2.90034053236582e-06,0.000212614296625964
"ints2",1.7182122502766,2.96236036864131,33.7615858389002,3.119049801168e-06,0.000225638629037127
"LOC105929939",-1.91443520344123,7.66787962603291,33.602673298554,3.23629908688558e-06,0.000231080160775284
"LOC105934211",1.14056102613474,7.36647244632016,33.5402371958047,3.28365253243749e-06,0.000231455405427453
"msra",0.991343135582463,4.24465214574072,33.3369491054135,3.44305537277911e-06,0.000237650172965714
"apoc2",1.23622537424515,10.0862534327749,33.3184259514682,3.45798723849712e-06,0.000237650172965714
"gfm1",1.51780430597083,2.85164298326257,33.0276452675699,3.70172873963552e-06,0.000251260550747112
"rtcb",1.31217519059573,3.98460518184578,32.8690862593843,3.84235249496809e-06,0.000252082839854842
"cntfr",1.11758956129676,4.43509802128811,32.8635874763229,3.84733101444573e-06,0.000252082839854842
"dusp1",-2.14597644673035,5.62690781606491,32.8788052689295,3.89147635685007e-06,0.000252082839854842
"edem3",1.14877031824512,3.29307667919005,32.8088781199768,3.89724288607886e-06,0.000252082839854842
"ddx23",0.714708633903292,4.39951339771166,32.6682923139702,4.02871589945068e-06,0.000255843722707729
"LOC105935303",-1.51867396820569,4.64024008612607,32.6476112201864,4.04845468817251e-06,0.000255843722707729
"LOC105928596",-0.822947279076481,4.49834737418604,32.5713314434665,4.12216116719903e-06,0.000257541387468866
"LOC105932397",0.840173619582303,5.62519125452264,32.3001133228883,4.39611925098912e-06,0.000271571501594811
"tmem79b",1.15250821350563,3.86245057682516,32.2188874824634,4.4819202848306e-06,0.000273795530288873
"matr3l1.2",0.954571804753404,3.69669661185491,32.1006956500725,4.60999538189843e-06,0.000276620537024755
"dnajc19",-1.39137611652487,6.81141850814769,32.0423170442651,4.67469997223008e-06,0.000276620537024755
"psmc2",1.12508702434408,5.15470261817157,32.0383757826779,4.67910329998222e-06,0.000276620537024755
"pik3c3",0.838283210256979,3.29010319682489,31.885626951878,4.85323708809707e-06,0.00028386273947189
"apoa2",-0.780588628620608,15.8964141554596,31.6909062505821,5.08537057650492e-06,0.000294025699833579
"LOC105916747",1.11752919331446,8.54687082933983,31.6513627187634,5.13395183412578e-06,0.000294025699833579
"abcg5",-1.71401610166047,4.18686236804731,31.5287351489476,5.28780030917852e-06,0.000299314479232719
"psmd13",0.922185129496675,3.69157578631274,31.491740453431,5.33517987719287e-06,0.000299314479232719
"lmbrd2b",1.33940430086645,5.38597989098327,31.4305277674507,5.41457936533531e-06,0.000300700579299126
"ap2a1",0.962950591253434,4.71151544289186,31.3373573198568,5.53787581029476e-06,0.000304472412050006
