Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
190626_I114_FCH7TVNBBXY_L2_20-N4_1	190626_I114_FCH7TVNBBXY_L2_20-N4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32183283.0	0.0	49.0	31.0	11.854340273663242	49.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_20-N4_2	190626_I114_FCH7TVNBBXY_L2_20-N4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32183283.0	0.0	49.0	29.0	16.49626294618339	49.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_20-S1_1	190626_I114_FCH7TVNBBXY_L2_20-S1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33327460.0	0.0	49.0	31.0	11.927896593943759	49.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_20-S1_2	190626_I114_FCH7TVNBBXY_L2_20-S1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33327460.0	0.0	49.0	29.0	15.69719841381382	49.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_20-S3_1	190626_I114_FCH7TVNBBXY_L2_20-S3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29750736.0	0.0	49.0	31.0	11.580034346658364	49.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_20-S3_2	190626_I114_FCH7TVNBBXY_L2_20-S3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29750736.0	0.0	49.0	29.0	16.690926791359253	49.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_20-S4_1	190626_I114_FCH7TVNBBXY_L2_20-S4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29063422.0	0.0	49.0	31.0	11.528096972190703	49.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_20-S4_2	190626_I114_FCH7TVNBBXY_L2_20-S4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29063422.0	0.0	49.0	29.0	15.634118834980324	49.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_5-N1_1	190626_I114_FCH7TVNBBXY_L2_5-N1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20059330.0	0.0	49.0	31.0	10.42594039052157	49.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_5-N1_2	190626_I114_FCH7TVNBBXY_L2_5-N1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20059330.0	0.0	49.0	29.0	15.33289363744483	49.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	pass
190626_I114_FCH7TVNBBXY_L2_5-N2_1	190626_I114_FCH7TVNBBXY_L2_5-N2_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28557733.0	0.0	49.0	31.0	11.44905346879779	49.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	pass
