Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
190626_I114_FCH7TVNBBXY_L2_20-N4_1	88.14565972633676	31.0	49.0	27.27272727272727	32183283.0
190626_I114_FCH7TVNBBXY_L2_20-N4_2	83.50373705381661	29.0	49.0	27.27272727272727	32183283.0
190626_I114_FCH7TVNBBXY_L2_20-S1_1	88.07210340605624	31.0	49.0	27.27272727272727	33327460.0
190626_I114_FCH7TVNBBXY_L2_20-S1_2	84.30280158618618	29.0	49.0	27.27272727272727	33327460.0
190626_I114_FCH7TVNBBXY_L2_20-S3_1	88.41996565334163	31.0	49.0	27.27272727272727	29750736.0
190626_I114_FCH7TVNBBXY_L2_20-S3_2	83.30907320864074	29.0	49.0	27.27272727272727	29750736.0
190626_I114_FCH7TVNBBXY_L2_20-S4_1	88.4719030278093	31.0	49.0	27.27272727272727	29063422.0
190626_I114_FCH7TVNBBXY_L2_20-S4_2	84.36588116501967	29.0	49.0	27.27272727272727	29063422.0
190626_I114_FCH7TVNBBXY_L2_5-N1_1	89.57405960947843	31.0	49.0	27.27272727272727	20059330.0
190626_I114_FCH7TVNBBXY_L2_5-N1_2	84.66710636255517	29.0	49.0	27.27272727272727	20059330.0
190626_I114_FCH7TVNBBXY_L2_5-N2_1	88.55094653120221	31.0	49.0	27.27272727272727	28557733.0
190626_I114_FCH7TVNBBXY_L2_5-N2_2	83.67529689318182	28.0	49.0	27.27272727272727	28557733.0
190626_I114_FCH7TVNBBXY_L2_5-S3_1	89.57877436063166	31.0	49.0	27.27272727272727	26059818.0
190626_I114_FCH7TVNBBXY_L2_5-S3_2	85.00885852114557	28.0	49.0	27.27272727272727	26059818.0
190626_I114_FCH7TVNBBXY_L2_5-S4_1	88.3605222542229	31.0	49.0	27.27272727272727	31169341.0
190626_I114_FCH7TVNBBXY_L2_5-S4_2	84.89727303300744	28.0	49.0	27.27272727272727	31169341.0
190626_I114_FCH7TVNBBXY_L2_OC-S1_1	88.80206957522556	31.0	49.0	27.27272727272727	25279464.0
190626_I114_FCH7TVNBBXY_L2_OC-S1_2	84.81444464901833	28.0	49.0	27.27272727272727	25279464.0
190626_I114_FCH7TVNBBXY_L3_20-N2_1	78.59266697979967	30.0	49.0	27.27272727272727	18288421.0
190626_I114_FCH7TVNBBXY_L3_20-N2_2	74.26869884320371	28.0	49.0	27.27272727272727	18288421.0
190626_I114_FCH7TVNBBXY_L3_5-N3_1	76.03878710572585	31.0	49.0	27.27272727272727	24122348.0
190626_I114_FCH7TVNBBXY_L3_5-N3_2	73.0088224930222	29.0	49.0	27.27272727272727	24122348.0
190626_I114_FCH7TVNBBXY_L3_5-S2_1	73.98637594482665	31.0	49.0	27.27272727272727	25992806.0
190626_I114_FCH7TVNBBXY_L3_5-S2_2	70.56187452320358	29.0	49.0	27.27272727272727	25992806.0
190626_I114_FCH7TVNBBXY_L3_OC-N1_1	74.5959856330898	30.0	49.0	27.27272727272727	21437493.0
190626_I114_FCH7TVNBBXY_L3_OC-N1_2	68.73593977118895	28.0	49.0	27.27272727272727	21437493.0
190626_I114_FCH7TVNBBXY_L3_OC-N2_1	78.12625736040522	30.0	49.0	27.27272727272727	21649629.0
190626_I114_FCH7TVNBBXY_L3_OC-N2_2	75.25537302085743	28.0	49.0	27.27272727272727	21649629.0
190626_I114_FCH7TVNBBXY_L3_OC-N4_1	80.03293539708646	32.0	49.0	27.27272727272727	19887289.0
190626_I114_FCH7TVNBBXY_L3_OC-N4_2	75.4735577740792	29.0	49.0	27.27272727272727	19887289.0
190626_I114_FCH7TVNBBXY_L3_OC-N5_1	80.2632656315472	29.0	49.0	27.27272727272727	18946558.0
190626_I114_FCH7TVNBBXY_L3_OC-N5_2	77.64616651129181	27.0	49.0	27.27272727272727	18946558.0
190626_I114_FCH7TVNBBXY_L3_OC-S2_1	83.93652163453628	30.0	49.0	27.27272727272727	14408866.0
190626_I114_FCH7TVNBBXY_L3_OC-S2_2	78.44057485125282	28.0	49.0	27.27272727272727	14408866.0
190626_I114_FCH7TVNBBXY_L3_OC-S3_1	74.45063990436945	31.0	49.0	27.27272727272727	23230791.0
190626_I114_FCH7TVNBBXY_L3_OC-S3_2	71.68765448713212	28.0	49.0	27.27272727272727	23230791.0
190626_I114_FCH7TVNBBXY_L4_20-N1_1	91.19976214384215	29.0	49.0	27.27272727272727	26230948.0
190626_I114_FCH7TVNBBXY_L4_20-N1_2	81.51159113220601	28.0	49.0	36.36363636363637	26230948.0
190626_I114_FCH7TVNBBXY_L4_20-S2_1	92.89817971674987	30.0	49.0	27.27272727272727	21351614.0
190626_I114_FCH7TVNBBXY_L4_20-S2_2	81.90009193990396	28.0	49.0	36.36363636363637	21351614.0
190626_I114_FCH7TVNBBXY_L4_5-S1_1	91.07219511154173	31.0	49.0	27.27272727272727	28026660.0
190626_I114_FCH7TVNBBXY_L4_5-S1_2	82.28131176292126	28.0	49.0	36.36363636363637	28026660.0
190626_I114_FCH7TVNBBXY_L4_OC-N3_2	79.57669505342099	27.0	49.0	36.36363636363637	25107543.0
190626_I114_FCH7TVNBBXY_L4_OC-S5_1	87.09092296160524	26.0	49.0	27.27272727272727	28042441.0
190626_I114_FCH7TVNBBXY_L4_OC-S5_2	79.83434424450981	26.0	49.0	36.36363636363637	28042441.0
