Module	Section	Sample Name	Source
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L2_20-N4_1	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L2_20-N4_1_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L2_20-N4_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L2_20-N4_2_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L2_20-S1_1	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L2_20-S1_1_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L2_20-S1_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L2_20-S1_2_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L2_20-S3_1	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L2_20-S3_1_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L2_20-S3_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L2_20-S3_2_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L2_20-S4_1	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L2_20-S4_1_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L2_20-S4_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L2_20-S4_2_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L2_5-N1_1	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L2_5-N1_1_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L2_5-N1_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L2_5-N1_2_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L2_5-N2_1	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L2_5-N2_1_fastqc.zip
