Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	bp_written	percent_trimmed
190626_I114_FCH7TVNBBXY_L2_20-N4_1	3.5	32183283	11716350	32183283	1575272879	1541347834	2.1535979862445154
190626_I114_FCH7TVNBBXY_L2_20-N4_2	3.5	32183283	15292378	32183283	1563409886	1529708554	2.1556299663823415
190626_I114_FCH7TVNBBXY_L2_20-S1_1	3.5	33327460	12029136	33327460	1631571101	1600321570	1.9153030462997884
190626_I114_FCH7TVNBBXY_L2_20-S1_2	3.5	33327460	15765241	33327460	1621280346	1590498538	1.8986110622968102
190626_I114_FCH7TVNBBXY_L2_20-S3_1	3.5	29750736	10700006	29750736	1456209727	1428274147	1.918376143356169
190626_I114_FCH7TVNBBXY_L2_20-S3_2	3.5	29750736	14045772	29750736	1445299679	1417485427	1.9244626152027255
190626_I114_FCH7TVNBBXY_L2_20-S4_1	3.5	29063422	10609931	29063422	1422720148	1392286277	2.1391326356615283
190626_I114_FCH7TVNBBXY_L2_20-S4_2	3.5	29063422	13858606	29063422	1413622286	1383624084	2.1220804381121647
190626_I114_FCH7TVNBBXY_L2_5-N1_1	3.5	20059330	7478552	20059330	982001269	961700002	2.0673361268334576
190626_I114_FCH7TVNBBXY_L2_5-N1_2	3.5	20059330	9468894	20059330	976435780	956703822	2.020814722705061
190626_I114_FCH7TVNBBXY_L2_5-N2_1	3.5	28557733	10272421	28557733	1397906989	1370411223	1.9669238523279176
190626_I114_FCH7TVNBBXY_L2_5-N2_2	3.5	28557733	13649277	28557733	1388258087	1360985671	1.9645061862333673
190626_I114_FCH7TVNBBXY_L2_5-S3_1	3.5	26059818	9483047	26059818	1275671032	1244687595	2.428795216226247
190626_I114_FCH7TVNBBXY_L2_5-S3_2	3.5	26059818	12542772	26059818	1267555141	1236742289	2.4308884878721027
190626_I114_FCH7TVNBBXY_L2_5-S4_1	3.5	31169341	11466739	31169341	1525799666	1494889377	2.0258419036775432
190626_I114_FCH7TVNBBXY_L2_5-S4_2	3.5	31169341	14941830	31169341	1516923440	1486507128	2.0051316498873537
190626_I114_FCH7TVNBBXY_L2_OC-S1_1	3.5	25279464	9317753	25279464	1237516888	1211270265	2.120910288539028
190626_I114_FCH7TVNBBXY_L2_OC-S1_2	3.5	25279464	12226768	25279464	1229993498	1204003614	2.113009868935096
190626_I114_FCH7TVNBBXY_L3_20-N2_1	3.5	18288421	6769696	18288421	895015621	875580583	2.1714747255791194
190626_I114_FCH7TVNBBXY_L3_20-N2_2	3.5	18288421	9210111	18288421	889982694	870300826	2.211488844972979
190626_I114_FCH7TVNBBXY_L3_5-N3_1	3.5	24122348	8917043	24122348	1180638653	1157039011	1.9988878002624568
190626_I114_FCH7TVNBBXY_L3_5-N3_2	3.5	24122348	11714493	24122348	1173267860	1149805967	1.9997047392059302
190626_I114_FCH7TVNBBXY_L3_5-S2_1	3.5	25992806	9827890	25992806	1272115942	1242881464	2.298098548630562
190626_I114_FCH7TVNBBXY_L3_5-S2_2	3.5	25992806	12964612	25992806	1263489009	1234175395	2.3200529479239815
190626_I114_FCH7TVNBBXY_L3_OC-N1_1	3.5	21437493	7696143	21437493	1049045568	1030273162	1.7894747923857584
190626_I114_FCH7TVNBBXY_L3_OC-N1_2	3.5	21437493	10332178	21437493	1042483058	1023656934	1.8058925615652546
190626_I114_FCH7TVNBBXY_L3_OC-N2_1	3.5	21649629	7949977	21649629	1059634072	1038866023	1.95992650187262
190626_I114_FCH7TVNBBXY_L3_OC-N2_2	3.5	21649629	10538807	21649629	1053399459	1032668237	1.9680304392485928
190626_I114_FCH7TVNBBXY_L3_OC-N4_1	3.5	19887289	7195508	19887289	973333767	955931198	1.7879343746223901
190626_I114_FCH7TVNBBXY_L3_OC-N4_2	3.5	19887289	9366984	19887289	966242988	949020100	1.782459299978899
190626_I114_FCH7TVNBBXY_L3_OC-N5_1	3.5	18946558	6842573	18946558	927298652	908613365	2.015023634478442
190626_I114_FCH7TVNBBXY_L3_OC-N5_2	3.5	18946558	9073503	18946558	921738635	903119082	2.0200469301148476
190626_I114_FCH7TVNBBXY_L3_OC-S2_1	3.5	14408866	5179051	14408866	705240338	690372611	2.1081787582037035
190626_I114_FCH7TVNBBXY_L3_OC-S2_2	3.5	14408866	6939778	14408866	700945275	686042443	2.126104923098312
190626_I114_FCH7TVNBBXY_L3_OC-S3_1	3.5	23230791	8437535	23230791	1137058382	1116453143	1.8121531247812392
190626_I114_FCH7TVNBBXY_L3_OC-S3_2	3.5	23230791	10951582	23230791	1130154089	1109889918	1.7930449659241114
190626_I114_FCH7TVNBBXY_L4_20-N1_1	3.5	26230948	9966511	26230948	1283877880	1260188926	1.8451095987415875
190626_I114_FCH7TVNBBXY_L4_20-N1_2	3.5	26230948	12304741	26230948	1275274897	1252542138	1.7825771567743798
190626_I114_FCH7TVNBBXY_L4_20-S2_1	3.5	21351614	7798071	21351614	1045060731	1025479330	1.8737093854117841
