Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
190626_I114_FCH7TVNBBXY_L2_20-N4_1	2.1535979862445154					
190626_I114_FCH7TVNBBXY_L2_20-N4_1_val_1		87.81250536975517	31.0	47.260431593635246	27.27272727272727	31986987.0
190626_I114_FCH7TVNBBXY_L2_20-N4_2	2.1556299663823415					
190626_I114_FCH7TVNBBXY_L2_20-N4_2_val_2		82.99202261609705	28.0	45.94971645813343	27.27272727272727	31986987.0
190626_I114_FCH7TVNBBXY_L2_20-S1_1	1.9153030462997884					
190626_I114_FCH7TVNBBXY_L2_20-S1_1_val_1		87.77641852325962	31.0	47.364059219484105	27.27272727272727	33173136.0
190626_I114_FCH7TVNBBXY_L2_20-S1_2	1.8986110622968102					
190626_I114_FCH7TVNBBXY_L2_20-S1_2_val_2		83.75891879038501	28.0	46.0242976123813	27.27272727272727	33173136.0
190626_I114_FCH7TVNBBXY_L2_20-S3_1	1.918376143356169					
190626_I114_FCH7TVNBBXY_L2_20-S3_1_val_1		88.06068777975739	31.0	47.352529466510674	27.27272727272727	29591220.0
190626_I114_FCH7TVNBBXY_L2_20-S3_2	1.9244626152027255					
190626_I114_FCH7TVNBBXY_L2_20-S3_2_val_2		82.80762235533308	28.0	46.02928172613363	27.27272727272727	29591220.0
190626_I114_FCH7TVNBBXY_L2_20-S4_1	2.1391326356615283					
190626_I114_FCH7TVNBBXY_L2_20-S4_1_val_1		88.12099585328346	31.0	47.28780679688105	27.27272727272727	28894606.0
190626_I114_FCH7TVNBBXY_L2_20-S4_2	2.1220804381121647					
190626_I114_FCH7TVNBBXY_L2_20-S4_2_val_2		83.96532024284795	28.0	45.96293491594936	27.27272727272727	28894606.0
190626_I114_FCH7TVNBBXY_L2_5-N1_1	2.0673361268334576					
190626_I114_FCH7TVNBBXY_L2_5-N1_1_val_1		89.19137397344389	31.0	47.26358942270234	27.27272727272727	19973457.0
190626_I114_FCH7TVNBBXY_L2_5-N1_2	2.020814722705061					
190626_I114_FCH7TVNBBXY_L2_5-N1_2_val_2		84.1230025102646	28.0	45.98259379936082	27.27272727272727	19973457.0
190626_I114_FCH7TVNBBXY_L2_5-N2_1	1.9669238523279176					
190626_I114_FCH7TVNBBXY_L2_5-N2_1_val_1		88.17143785439177	31.0	47.34959336084335	27.27272727272727	28405897.0
190626_I114_FCH7TVNBBXY_L2_5-N2_2	1.9645061862333673					
190626_I114_FCH7TVNBBXY_L2_5-N2_2_val_2		83.16417416246676	27.0	45.99603596394087	27.27272727272727	28405897.0
190626_I114_FCH7TVNBBXY_L2_5-S3_1	2.428795216226247					
190626_I114_FCH7TVNBBXY_L2_5-S3_1_val_1		89.18390193906143	30.0	47.228881181751454	27.27272727272727	25865202.0
190626_I114_FCH7TVNBBXY_L2_5-S3_2	2.4308884878721027					
190626_I114_FCH7TVNBBXY_L2_5-S3_2_val_2		84.50149040669784	27.0	45.88914758910447	27.27272727272727	25865202.0
190626_I114_FCH7TVNBBXY_L2_5-S4_1	2.0258419036775432					
190626_I114_FCH7TVNBBXY_L2_5-S4_1_val_1		88.01709674390175	31.0	47.3049275339895	27.27272727272727	31022820.0
190626_I114_FCH7TVNBBXY_L2_5-S4_2	2.0051316498873537					
190626_I114_FCH7TVNBBXY_L2_5-S4_2_val_2		84.42481616708505	27.0	46.019590933383874	27.27272727272727	31022820.0
190626_I114_FCH7TVNBBXY_L2_OC-S1_1	2.120910288539028					
190626_I114_FCH7TVNBBXY_L2_OC-S1_1_val_1		88.44884729826728	31.0	47.287052002167385	27.27272727272727	25141779.0
190626_I114_FCH7TVNBBXY_L2_OC-S1_2	2.113009868935096					
190626_I114_FCH7TVNBBXY_L2_OC-S1_2_val_2		84.29286284195231	27.0	45.9864876705821	27.27272727272727	25141779.0
190626_I114_FCH7TVNBBXY_L3_20-N2_1	2.1714747255791194					
