ID,logFC,logCPM,F,PValue,FDR
Funhe2EKm007950,2.17621556,4.628264268,77.36927243,1.21E-09,1.20E-05
Funhe2EKm021334,-1.989358865,8.802803163,48.90522422,1.15E-07,0.000569502
Funhe2EKm002577,2.855028015,3.39893516,47.64131335,1.82E-07,0.000599896
Funhe2EKm027528,1.064178122,3.52495319,41.49214224,5.00E-07,0.001025118
Funhe2EKm033768,1.290571956,3.569712849,41.32990908,5.17E-07,0.001025118
Funhe2EKm005441,-1.303855686,5.763476936,35.77269457,1.74E-06,0.002877971
Funhe2EKm035502,1.27969151,2.84099501,34.27494191,2.46E-06,0.003486724
Funhe2EKm027421,0.927883637,3.808597261,32.86765894,3.44E-06,0.004053512
Funhe2EKm006719,-1.645238173,3.627900854,32.44343318,3.81E-06,0.004053512
Funhe2EKm027732,0.921109171,4.475734441,32.08710893,4.15E-06,0.004053512
Funhe2EKm034028,2.325899093,3.22848771,32.56895552,4.50E-06,0.004053512
Funhe2EKm034500,1.149058019,2.189105361,31.06886435,5.32E-06,0.004109032
Funhe2EKm008082,1.239615062,5.044372208,31.01745466,5.39E-06,0.004109032
Funhe2EKm039163,2.473718128,2.128623297,30.746604,6.15E-06,0.00435245
Funhe2EKm010428,-1.389370292,5.728979197,29.86730402,7.19E-06,0.004672136
Funhe2EKm008363,0.995413327,4.522695139,29.6744715,7.55E-06,0.004672136
Funhe2EKm007334,1.879076737,5.589470044,29.68515717,8.37E-06,0.004878916
Funhe2EKm036710,1.418876803,2.086330742,28.50103556,1.02E-05,0.005608111
Funhe2EKm037175,-1.372826769,6.565626486,27.65052537,1.27E-05,0.006632378
Funhe2EKm017583,1.37166144,2.29874083,27.04097252,1.49E-05,0.007240643
Funhe2EKm007270,1.726104026,1.608512001,26.94080588,1.54E-05,0.007240643
Funhe2EKm040575,1.748190543,1.411155463,26.53228657,1.71E-05,0.007709576
Funhe2EKm007323,1.161203912,4.188170033,26.19556332,1.87E-05,0.008074639
Funhe2EKm009273,0.860572446,3.967589257,25.97387298,1.99E-05,0.008217105
Funhe2EKm002981,0.98815987,2.284931142,24.26271495,3.19E-05,0.012652163
Funhe2EKm037728,-0.84615914,3.097858405,24.03229783,3.41E-05,0.012980757
Funhe2EKm000692,1.501791376,3.363564412,23.13988437,4.39E-05,0.015466092
Funhe2EKm028135,0.905819158,4.281896254,23.07620698,4.47E-05,0.015466092
Funhe2EKm022532,1.630575932,1.460076411,22.98638851,4.59E-05,0.015466092
Funhe2EKm026140,1.152119523,2.630932783,22.91709551,4.68E-05,0.015466092
Funhe2EKm039059,1.156606073,2.940912371,22.47410776,5.33E-05,0.016197724
Funhe2EKm004621,-0.799047932,5.064041512,22.4345423,5.39E-05,0.016197724
Funhe2EKm017615,0.697027864,4.428055181,22.42937862,5.40E-05,0.016197724
Funhe2EKm033818,-1.362913186,1.799041165,22.27891853,5.64E-05,0.016427787
Funhe2EKm023438,1.159976533,2.44910271,21.96855816,6.18E-05,0.017480783
Funhe2EKm039517,1.104162039,3.088659196,21.81650613,6.46E-05,0.017529998
Funhe2EKm007606,-1.613452019,6.405097302,21.86926819,6.69E-05,0.017529998
Funhe2EKm034322,1.308710872,1.974500028,21.66130799,6.76E-05,0.017529998
Funhe2EKm034066,-0.693202488,3.950230926,21.59169282,6.91E-05,0.017529998
Funhe2EKm025594,1.201855218,3.063012254,21.50795799,7.08E-05,0.017529998
Funhe2EKm023110,-1.48860404,4.221369011,21.47510745,7.46E-05,0.018017595
Funhe2EKm016089,1.171736147,1.946589877,21.05269794,8.11E-05,0.019129385
Funhe2EKm032900,0.830990101,4.394288363,20.80422593,8.74E-05,0.020136809
Funhe2EKm011702,1.385600088,1.340688343,20.72268473,8.96E-05,0.020170357
Funhe2EKm029278,0.757424261,4.829652502,20.45384678,9.72E-05,0.020957037
Funhe2EKm007929,0.733494486,5.975632674,20.45019009,9.73E-05,0.020957037
Funhe2EKm033894,0.964319854,5.193883793,20.24901083,0.000103489,0.021809711
Funhe2EKm038835,1.350531251,5.667556762,20.21862571,0.000106442,0.021822285
Funhe2EKm026397,0.708662882,5.561109707,20.03456679,0.000110521,0.021822285
Funhe2EKm001991,0.994434765,4.411435732,20.03088445,0.000110646,0.021822285
Funhe2EKm030289,1.142210954,4.498523934,19.98085393,0.000112361,0.021822285
Funhe2EKm028453,1.019137788,3.616274855,19.80681664,0.000118554,0.022582234
