ID,logFC,logCPM,F,PValue,FDR
Funhe2EKm002577,4.189974777,3.39893516,101.394802,9.71E-11,9.61E-07
Funhe2EKm030756,2.198392236,5.79748651,86.5957586,3.61E-10,1.33E-06
Funhe2EKm000692,2.780490004,3.36356441,85.7310663,4.03E-10,1.33E-06
Funhe2EKm027081,3.678659051,4.00274428,77.4913493,2.06E-09,5.11E-06
Funhe2EKm023533,2.571340737,2.96800288,69.1774345,3.90E-09,7.73E-06
Funhe2EKm036551,4.00650486,5.01137485,69.2931602,7.98E-09,1.23E-05
Funhe2EKm000158,2.883920566,6.0107252,65.1519178,9.35E-09,1.23E-05
Funhe2EKm010469,3.291752417,2.59286703,64.0928095,9.91E-09,1.23E-05
Funhe2EKm032553,3.189184769,1.59236147,59.957077,1.65E-08,1.81E-05
Funhe2EKm039163,3.760757086,2.1286233,59.9528659,1.88E-08,1.87E-05
Funhe2EKm007950,1.802851844,4.62826427,57.4575855,2.50E-08,2.09E-05
Funhe2EKm022388,3.455760031,4.09545291,60.5676749,2.54E-08,2.09E-05
Funhe2EKm006295,2.524132728,2.30008607,55.0512121,3.78E-08,2.88E-05
Funhe2EKm033882,-1.38439102,4.52790221,52.679038,5.75E-08,4.07E-05
Funhe2EKm011359,1.349119416,5.05590925,50.7869309,8.10E-08,5.35E-05
Funhe2EKm004362,1.714756858,3.63509621,48.6372235,1.21E-07,7.49E-05
Funhe2EKm030815,1.788684565,5.31086439,47.0331548,1.64E-07,9.58E-05
Funhe2EKm033948,1.465300942,6.51586335,45.8437047,2.07E-07,0.00011402
Funhe2EKm033539,2.309337077,2.87946539,45.5196121,2.36E-07,0.00012288
Funhe2EKm032972,1.612789897,4.21534878,44.7390488,2.58E-07,0.00012769
Funhe2EKm030387,2.364659523,2.12665698,43.1629298,3.54E-07,0.00016711
Funhe2EKm033612,2.102769499,2.41961506,40.991928,5.56E-07,0.00023381
Funhe2EKm000850,2.547750737,3.93103831,42.0534428,5.79E-07,0.00023381
Funhe2EKm032497,2.511546475,3.24215204,41.6468176,5.85E-07,0.00023381
Funhe2EKm035695,2.262828003,3.79349069,41.5506056,5.90E-07,0.00023381
Funhe2EKm030334,-1.40951243,3.86916013,40.3372963,6.38E-07,0.00023595
Funhe2EKm032565,1.581703023,5.10585764,40.2996892,6.43E-07,0.00023595
Funhe2EKm022351,1.678549587,3.85822071,40.0360662,6.80E-07,0.00024067
Funhe2EKm010956,1.18759265,5.21963664,39.0619318,8.39E-07,0.00028654
Funhe2EKm031919,-0.83109698,4.47210692,38.6742368,9.13E-07,0.00030134
Funhe2EKm012308,1.91529538,1.93954187,37.7169418,1.13E-06,0.00035886
Funhe2EKm031641,2.423676899,2.63324531,38.0382296,1.16E-06,0.00035886
Funhe2EKm039237,1.788711273,7.55910144,37.3255519,1.25E-06,0.00037348
Funhe2EKm027516,-1.18063731,2.29833732,36.9860756,1.33E-06,0.00037348
Funhe2EKm034654,3.133346038,3.45428417,38.8338588,1.33E-06,0.00037348
Funhe2EKm007498,2.35264813,5.06804852,38.1108828,1.36E-06,0.00037348
Funhe2EKm008129,-0.97322886,3.34423646,35.9288041,1.68E-06,0.00045038
Funhe2EKm024282,2.107652298,7.31710314,35.5736725,2.10E-06,0.00054773
Funhe2EKm026363,2.333505132,3.21744695,34.8148685,2.58E-06,0.00065651
Funhe2EKm027804,1.946567774,8.14847892,34.4057847,2.66E-06,0.0006596
Funhe2EKm035781,2.216452729,4.45249063,34.7963045,2.78E-06,0.00067222
Funhe2EKm038256,2.769153555,6.25379788,34.8659054,3.06E-06,0.00072158
Funhe2EKm037021,2.595959134,3.82449589,34.0263659,3.57E-06,0.00082193
Funhe2EKm039312,4.090035764,4.58147756,34.8719115,3.76E-06,0.00084404
Funhe2EKm036279,2.42712441,4.02593925,33.602829,3.83E-06,0.00084404
Funhe2EKm030714,2.113650892,3.85930804,32.7486865,4.21E-06,0.00090578
Funhe2EKm038553,1.273880949,4.73401384,31.9427072,4.30E-06,0.00090578
Funhe2EKm029643,-1.20494232,2.01769031,31.7567376,4.50E-06,0.00092803
Funhe2EKm040023,1.319597418,3.35174013,31.6183042,4.65E-06,0.00094038
Funhe2EKm025105,2.080825456,2.06961357,31.3335085,4.99E-06,0.00098825
Funhe2EKm033252,1.454156239,5.0649755,31.1796243,5.18E-06,0.00100629
Funhe2EKm038404,-0.89497896,2.65316466,31.0214602,5.39E-06,0.00102298
Funhe2EKm030289,1.37219981,4.49852393,30.9573444,5.47E-06,0.00102298
Funhe2EKm031936,-0.88301859,5.03100527,30.5128275,6.11E-06,0.0011213
Funhe2EKm033160,2.849283807,3.49139555,31.7538167,6.31E-06,0.00113629
Funhe2EKm009882,-2.02529831,2.58426694,30.1661068,6.87E-06,0.00121471
Funhe2EKm031226,0.821492863,4.85018448,29.9541834,7.03E-06,0.001222
Funhe2EKm021334,-1.40511576,8.80280316,29.7681512,7.37E-06,0.00125867
Funhe2EKm024605,0.796047626,4.38194393,29.6602139,7.57E-06,0.0012716
Funhe2EKm030816,0.933525674,4.606656,29.4026172,8.09E-06,0.00133493
Funhe2EKm033807,1.273767441,4.34157287,28.5996123,9.93E-06,0.00161321
Funhe2EKm007601,2.099493356,5.03709853,29.1194508,1.07E-05,0.00171484
Funhe2EKm004657,2.477769086,2.22716912,28.5019523,1.12E-05,0.00174997
Funhe2EKm013543,-1.70709869,1.96880902,28.100999,1.13E-05,0.00174997
Funhe2EKm010013,1.897745619,2.51218933,28.0725019,1.15E-05,0.00175787
Funhe2EKm008401,0.967149534,6.5575832,27.9579237,1.17E-05,0.00176151
Funhe2EKm028759,1.660586036,2.50013064,27.4936831,1.33E-05,0.00196011
Funhe2EKm023424,1.349214973,1.98440631,27.1574939,1.45E-05,0.00210553
Funhe2EKm000047,0.800997229,4.78043585,27.1120706,1.47E-05,0.00210553
Funhe2EKm034194,-0.92459159,4.23073564,27.0236924,1.50E-05,0.00212478
Funhe2EKm034056,-1.04910641,2.49481033,26.7383012,1.62E-05,0.00226056
Funhe2EKm035551,0.855874642,6.41479463,26.4582196,1.75E-05,0.00236705
Funhe2EKm024495,0.855522444,6.26352725,26.4130914,1.77E-05,0.00236705
Funhe2EKm000067,0.792135488,3.42093304,26.3607892,1.79E-05,0.00236705
Funhe2EKm004368,1.545199795,4.0160827,26.5095529,1.80E-05,0.00236705
