chr	start	end	mean_NO
1	KN805525.1	43178	43179	0.576666666666667
2	KN805525.1	104317	104318	0.323333333333333
3	KN805525.1	104510	104511	0.9
4	KN805525.1	114719	114720	0.00333333333333333
5	KN805525.1	211401	211402	0.0966666666666667
6	KN805525.1	211450	211451	0.0633333333333333
7	KN805525.1	211649	211650	0
8	KN805525.1	211672	211673	0
9	KN805525.1	211684	211685	0
10	KN805525.1	215453	215454	0
11	KN805525.1	215709	215710	0
12	KN805525.1	243041	243042	0.986666666666667
13	KN805525.1	243093	243094	0.95
14	KN805525.1	243286	243287	0.246666666666667
15	KN805525.1	379297	379298	0
16	KN805525.1	414417	414418	0
17	KN805525.1	478531	478532	0.93
18	KN805525.1	540748	540749	0.0666666666666667
19	KN805525.1	540800	540801	0.05
20	KN805525.1	540808	540809	0.126666666666667
21	KN805525.1	541191	541192	0
22	KN805525.1	541203	541204	0
23	KN805525.1	541258	541259	0
24	KN805525.1	541430	541431	0
25	KN805525.1	544516	544517	0
26	KN805525.1	642057	642058	0.86
27	KN805525.1	733019	733020	0.436666666666667
28	KN805525.1	785485	785486	0
29	KN805525.1	785506	785507	0.2
30	KN805525.1	830018	830019	0
31	KN805525.1	907079	907080	0
32	KN805525.1	907103	907104	0
33	KN805525.1	907130	907131	0
34	KN805525.1	941570	941571	0
35	KN805525.1	941597	941598	0
36	KN805525.1	941659	941660	0
37	KN805525.1	941672	941673	0
38	KN805525.1	941720	941721	0.00333333333333333
39	KN805525.1	941747	941748	0
40	KN805525.1	941811	941812	0
41	KN805525.1	952930	952931	0.26
42	KN805525.1	953344	953345	0
43	KN805525.1	953393	953394	0
44	KN805525.1	953470	953471	0
45	KN805525.1	953540	953541	0
46	KN805525.1	1022226	1022227	0.0733333333333333
47	KN805525.1	1110600	1110601	0.91
48	KN805525.1	1133239	1133240	0
49	KN805525.1	1133295	1133296	0
50	KN805525.1	1133512	1133513	0.01
51	KN805525.1	1133799	1133800	0
52	KN805525.1	1133864	1133865	0
53	KN805525.1	1144828	1144829	0.03
54	KN805525.1	1157720	1157721	0.0266666666666667
55	KN805525.1	1163200	1163201	0.913333333333333
56	KN805525.1	1167082	1167083	0
57	KN805525.1	1167541	1167542	0.00333333333333333
58	KN805525.1	1167561	1167562	0.00333333333333333
59	KN805525.1	1171297	1171298	0
60	KN805525.1	1171330	1171331	0
61	KN805525.1	1171423	1171424	0.333333333333333
62	KN805525.1	1230607	1230608	0
63	KN805525.1	1230855	1230856	0
64	KN805525.1	1230890	1230891	0
65	KN805525.1	1261631	1261632	0.436666666666667
66	KN805525.1	1332870	1332871	0.563333333333333
67	KN805525.1	1437149	1437150	0.2
68	KN805525.1	1437180	1437181	0
69	KN805525.1	1437281	1437282	0
70	KN805525.1	1437787	1437788	0.11
71	KN805525.1	1437904	1437905	0
72	KN805525.1	1437935	1437936	0
73	KN805525.1	1488250	1488251	0.0433333333333333
74	KN805525.1	1541649	1541650	0.72
75	KN805525.1	1635982	1635983	0
76	KN805525.1	1635994	1635995	0
77	KN805525.1	1636021	1636022	0
78	KN805525.1	1636383	1636384	0.193333333333333
79	KN805525.1	1700113	1700114	0.0466666666666667
80	KN805525.1	1700279	1700280	0
81	KN805525.1	1700307	1700308	0
82	KN805525.1	1700505	1700506	0
83	KN805525.1	1700580	1700581	0
84	KN805525.1	1734674	1734675	0
85	KN805525.1	1734942	1734943	0
86	KN805525.1	1770899	1770900	0
87	KN805525.1	1858277	1858278	0.29
88	KN805525.1	1858457	1858458	0.0966666666666667
89	KN805525.1	1940047	1940048	0
90	KN805525.1	2000787	2000788	0.0933333333333333
91	KN805525.1	2000816	2000817	0
92	KN805525.1	2000903	2000904	0
93	KN805525.1	2000931	2000932	0
94	KN805525.1	2000936	2000937	0
95	KN805525.1	2001352	2001353	0
96	KN805525.1	2001377	2001378	0
97	KN805525.1	2001687	2001688	0
98	KN805525.1	2027073	2027074	0.903333333333333
99	KN805525.1	2062026	2062027	0
100	KN805525.1	2062085	2062086	0
101	KN805525.1	2062132	2062133	0
102	KN805525.1	2062201	2062202	0
103	KN805525.1	2062240	2062241	0
104	KN805525.1	2130608	2130609	0
105	KN805525.1	2130622	2130623	0.0466666666666667
106	KN805525.1	2207815	2207816	0.0566666666666667
107	KN805525.1	2207867	2207868	0
108	KN805525.1	2208032	2208033	0.15
109	KN805525.1	2223913	2223914	0.333333333333333
110	KN805525.1	2224014	2224015	0.03
111	KN805525.1	2224069	2224070	0.0433333333333333
112	KN805525.1	2230152	2230153	0.00333333333333333
113	KN805525.1	2230156	2230157	0
114	KN805525.1	2230171	2230172	0
115	KN805525.1	2230188	2230189	0
116	KN805525.1	2230205	2230206	0
117	KN805525.1	2230215	2230216	0
118	KN805525.1	2230304	2230305	0
119	KN805525.1	2231186	2231187	0
120	KN805525.1	2231342	2231343	0
121	KN805525.1	2268140	2268141	0
122	KN805525.1	2268162	2268163	0
123	KN805525.1	2304319	2304320	0
124	KN805525.1	2304510	2304511	0
125	KN805525.1	2304522	2304523	0
126	KN805525.1	2304566	2304567	0
127	KN805525.1	2307939	2307940	0.0266666666666667
128	KN805525.1	2326436	2326437	0.00666666666666667
129	KN805525.1	2351145	2351146	0.02
130	KN805525.1	2351241	2351242	0
131	KN805525.1	2368632	2368633	0.0533333333333333
132	KN805525.1	2368703	2368704	0
133	KN805525.1	2503059	2503060	0
134	KN805525.1	2670369	2670370	0.836666666666667
135	KN805525.1	2710562	2710563	0.00333333333333333
136	KN805525.1	2711289	2711290	0.556666666666667
137	KN805525.1	2767056	2767057	0.913333333333333
138	KN805525.1	2877394	2877395	0.846666666666667
139	KN805525.1	2931711	2931712	0.836666666666667
140	KN805525.1	2972527	2972528	0.0333333333333333
141	KN805525.1	2972541	2972542	0
142	KN805525.1	2972978	2972979	0.333333333333333
143	KN805525.1	2973008	2973009	0
144	KN805525.1	3004841	3004842	0
145	KN805525.1	3004926	3004927	0.0766666666666667
146	KN805525.1	3004985	3004986	0.0666666666666667
147	KN805525.1	3005010	3005011	0.34
148	KN805525.1	3005021	3005022	0.376666666666667
149	KN805525.1	3005026	3005027	0.04
150	KN805525.1	3005054	3005055	0.01
151	KN805525.1	3005064	3005065	0
152	KN805525.1	3005085	3005086	0.156666666666667
153	KN805525.1	3005091	3005092	0.16
154	KN805525.1	3005104	3005105	0.09
155	KN805525.1	3005148	3005149	0.15
156	KN805525.1	3005177	3005178	0.00333333333333333
157	KN805525.1	3005200	3005201	0
158	KN805525.1	3005254	3005255	0
159	KN805525.1	3098539	3098540	0.0466666666666667
160	KN805525.1	3098685	3098686	0.00333333333333333
161	KN805525.1	3098849	3098850	0
162	KN805525.1	3135182	3135183	0.773333333333333
163	KN805525.1	3209240	3209241	0.15
164	KN805525.1	3213725	3213726	0
165	KN805525.1	3213762	3213763	0
166	KN805525.1	3213939	3213940	0
167	KN805525.1	3214003	3214004	0
168	KN805525.1	3214027	3214028	0
169	KN805525.1	3277726	3277727	0.346666666666667
170	KN805525.1	3838166	3838167	0.763333333333333
171	KN805525.1	3867305	3867306	0
172	KN805525.1	3867353	3867354	0.01
173	KN805525.1	3940092	3940093	0
174	KN805525.1	3940109	3940110	0.01
175	KN805525.1	3940135	3940136	0
176	KN805525.1	3963231	3963232	0.283333333333333
177	KN805525.1	3984399	3984400	0.00333333333333333
178	KN805525.1	3984509	3984510	0
179	KN805525.1	3984548	3984549	0
180	KN805525.1	3990455	3990456	0.993333333333333
181	KN805525.1	3990713	3990714	0.766666666666667
182	KN805525.1	4051765	4051766	0
183	KN805525.1	4051827	4051828	0
184	KN805525.1	4051864	4051865	0.0566666666666667
185	KN805525.1	4051935	4051936	0
186	KN805525.1	4052064	4052065	0.00333333333333333
187	KN805525.1	4052070	4052071	0
188	KN805525.1	4052090	4052091	0
189	KN805525.1	4052100	4052101	0
190	KN805525.1	4052222	4052223	0.00333333333333333
191	KN805525.1	4052252	4052253	0.00666666666666667
192	KN805525.1	4060062	4060063	0.0266666666666667
193	KN805525.1	4060119	4060120	0.00333333333333333
194	KN805525.1	4075757	4075758	0.68
195	KN805525.1	4177619	4177620	0.02
196	KN805525.1	4177682	4177683	0
197	KN805525.1	4185875	4185876	0
198	KN805525.1	4196269	4196270	0
199	KN805525.1	4201942	4201943	0.566666666666667
200	KN805525.1	4201985	4201986	0.0666666666666667
201	KN805525.1	4207778	4207779	0
202	KN805525.1	4252440	4252441	0
203	KN805525.1	4252467	4252468	0.00333333333333333
204	KN805525.1	4252612	4252613	0.08
205	KN805525.1	4258619	4258620	0
206	KN805525.1	4258752	4258753	0
207	KN805525.1	4258777	4258778	0
208	KN805525.1	4392422	4392423	0
209	KN805525.1	4513463	4513464	0.07
210	KN805525.1	4547217	4547218	0.946666666666667
211	KN805525.1	4615446	4615447	1
212	KN805525.1	4648051	4648052	1
213	KN805525.1	4656723	4656724	0.16
214	KN805525.1	4694874	4694875	0.933333333333333
215	KN805525.1	4771164	4771165	0
216	KN805525.1	4771195	4771196	0
217	KN805525.1	4771509	4771510	0
218	KN805525.1	4808850	4808851	0
219	KN805525.1	4808908	4808909	0
220	KN805525.1	4809034	4809035	0
221	KN805525.1	4809061	4809062	0.0233333333333333
222	KN805525.1	4811076	4811077	0
223	KN805525.1	4811254	4811255	0.00333333333333333
224	KN805525.1	4828325	4828326	0
225	KN805525.1	4845039	4845040	0.0666666666666667
226	KN805525.1	4874466	4874467	0.143333333333333
227	KN805525.1	4955896	4955897	0
228	KN805525.1	4956010	4956011	0
229	KN805525.1	5010845	5010846	0
230	KN805525.1	5010880	5010881	0
231	KN805525.1	5011025	5011026	0.03
232	KN805525.1	5047573	5047574	0.333333333333333
233	KN805525.1	5110774	5110775	0.0266666666666667
234	KN805525.1	5113747	5113748	0
235	KN805525.1	5113845	5113846	0
236	KN805525.1	5231442	5231443	0.903333333333333
237	KN805525.1	5252521	5252522	0.00333333333333333
238	KN805525.1	5470379	5470380	0.966666666666667
239	KN805525.1	5697745	5697746	0.953333333333333
240	KN805525.1	5853973	5853974	0.87
241	KN805525.1	5854023	5854024	0.85
242	KN805525.1	5866888	5866889	0.00333333333333333
243	KN805525.1	5867002	5867003	0
244	KN805525.1	5974829	5974830	0
245	KN805525.1	5974865	5974866	0.176666666666667
246	KN805525.1	5989246	5989247	0.0433333333333333
247	KN805525.1	6002994	6002995	0
248	KN805525.1	6003093	6003094	0.06
249	KN805525.1	6003167	6003168	0
250	KN805525.1	6083295	6083296	0
251	KN805525.1	6086457	6086458	0
252	KN805525.1	6087859	6087860	0
253	KN805525.1	6087938	6087939	0
254	KN805525.1	6087951	6087952	0
255	KN805525.1	6087977	6087978	0
256	KN805525.1	6088001	6088002	0.00333333333333333
257	KN805525.1	6088108	6088109	0
258	KN805525.1	6088174	6088175	0
259	KN805525.1	6088200	6088201	0
260	KN805525.1	6088281	6088282	0
261	KN805525.1	6088305	6088306	0.333333333333333
262	KN805525.1	6088428	6088429	0
263	KN805525.1	6088469	6088470	0.0133333333333333
264	KN805525.1	6103407	6103408	0
265	KN805525.1	6103436	6103437	0
266	KN805525.1	6137854	6137855	0
267	KN805525.1	6165343	6165344	0.963333333333333
268	KN805525.1	6219685	6219686	0.00333333333333333
269	KN805525.1	6219704	6219705	0
270	KN805525.1	6219725	6219726	0
271	KN805525.1	6242493	6242494	0
272	KN805525.1	6242658	6242659	0
273	KN805525.1	6242677	6242678	0
274	KN805525.1	6264373	6264374	0
275	KN805525.1	6349364	6349365	0.653333333333333
276	KN805525.1	6349545	6349546	0.436666666666667
277	KN805525.1	6349977	6349978	0.45
278	KN805526.1	1639	1640	0.773333333333333
279	KN805526.1	14203	14204	0
280	KN805526.1	14244	14245	0
281	KN805526.1	40290	40291	0.00333333333333333
282	KN805526.1	40451	40452	0
283	KN805526.1	148908	148909	0.00333333333333333
284	KN805526.1	148938	148939	0.00333333333333333
285	KN805526.1	158212	158213	0
286	KN805526.1	158236	158237	0
287	KN805526.1	158263	158264	0
288	KN805526.1	158286	158287	0
289	KN805526.1	158335	158336	0
290	KN805526.1	158946	158947	0
291	KN805526.1	158974	158975	0.0466666666666667
292	KN805526.1	278637	278638	0
293	KN805526.1	285842	285843	0.616666666666667
294	KN805526.1	286067	286068	0.876666666666667
295	KN805526.1	286089	286090	0.876666666666667
296	KN805526.1	286149	286150	0.77
297	KN805526.1	286170	286171	0.616666666666667
298	KN805526.1	399407	399408	0.346666666666667
299	KN805526.1	467966	467967	0.666666666666667
300	KN805526.1	732142	732143	0
301	KN805526.1	732173	732174	0.00333333333333333
302	KN805526.1	732293	732294	0.203333333333333
303	KN805526.1	734501	734502	0
304	KN805526.1	734680	734681	0
305	KN805526.1	735104	735105	0.0566666666666667
306	KN805526.1	735443	735444	0.00666666666666667
307	KN805526.1	735574	735575	0.00333333333333333
308	KN805526.1	735635	735636	0
309	KN805526.1	735659	735660	0
310	KN805526.1	735674	735675	0
311	KN805526.1	744655	744656	0.273333333333333
312	KN805526.1	1019589	1019590	0.696666666666667
313	KN805526.1	1085820	1085821	0.783333333333333
314	KN805526.1	1133593	1133594	0.82
315	KN805526.1	1177328	1177329	0.673333333333333
316	KN805526.1	1297913	1297914	0.05
317	KN805526.1	1332165	1332166	0.00666666666666667
318	KN805526.1	1332180	1332181	0.556666666666667
319	KN805526.1	1415829	1415830	0
320	KN805526.1	1415852	1415853	0
321	KN805526.1	1450674	1450675	0.163333333333333
322	KN805526.1	1450704	1450705	0.486666666666667
323	KN805526.1	1450802	1450803	0
324	KN805526.1	1450849	1450850	0.0733333333333333
325	KN805526.1	1463603	1463604	0
326	KN805526.1	1464604	1464605	0
327	KN805526.1	1464636	1464637	0
