chr	pos	N_20-N4	N_5-N1	N_5-N2	N_20-N2	N_5-N3	N_20-N1	N_OC-N5	N_OC-N1	N_OC-N2	N_OC-N4	S_20-S1	S_20-S3	S_20-S4	S_5-S3	S_5-S4	S_5-S2	S_20-S2	S_5-S1	S_OC-S1	S_OC-S2	S_OC-S3	S_OC-S5
JXMV01056319.1	89	0.15	0.07	0.00	0.16	0.05	0.35	0.22	0.52	0.09	0.00	0.06	0.05	0.06	0.12	0.03	0.10	0.00	0.04	0.02	0.08	0.02	0.00
JXMV01056319.1	145	0.00	0.28	0.00	0.00	0.35	0.03	0.00	0.01	0.01	0.27	0.08	0.03	0.01	0.00	0.01	0.33	0.00	0.00	0.02	0.03	0.34	0.75
JXMV01057363.1	4077	0.01	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01057363.1	4120	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01057451.1	2455	0.21	0.10	0.30	0.00	0.49	0.00	0.42	0.16	0.03	0.31	0.22	0.03	0.03	0.01	0.01	0.12	0.00	0.00	0.00	0.38	0.02	0.08
JXMV01058392.1	169	0.09	0.00	0.00	0.21	0.18	0.00	0.00	0.00	0.00	0.00	0.16	0.11	0.00	0.00	0.12	0.09	0.00	0.99	0.00	0.00	0.00	0.00
JXMV01058392.1	174	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.11	0.60	0.00	0.00
JXMV01058392.1	183	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.22	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01058392.1	190	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01058392.1	197	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.13	0.00	0.00	0.00
JXMV01058392.1	238	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.01	0.00	0.00	0.31	0.00	0.00	0.00	0.02	0.00	0.00	0.00
JXMV01059102.1	4822	0.31	0.78	0.59	0.31	0.35	0.00	0.67	0.21	0.53	0.69	0.83	0.54	0.61	0.74	0.66	0.58	0.96	0.97	0.33	0.57	0.18	0.05
JXMV01059912.1	65	0.81	0.93	0.85	0.98	0.79	0.97	0.79	0.77	0.94	0.91	0.89	0.85	0.91	0.93	0.93	0.85	0.88	0.94	0.97	0.56	0.84	0.11
JXMV01060553.1	2676	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.27	0.01	0.00	0.02	0.10	0.00	0.00	0.01	0.00	0.00	0.00	0.68	0.00	0.02	0.00
JXMV01060553.1	2705	0.00	0.00	0.01	0.03	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
JXMV01061197.1	4498	0.84	0.97	0.61	0.60	0.80	0.64	0.71	0.89	0.66	0.76	0.86	0.97	0.99	0.99	0.97	0.90	0.75	0.79	0.98	0.97	0.80	0.00
JXMV01061786.1	681	0.97	0.97	0.99	0.96	0.98	0.91	1.00	0.69	0.97	0.95	0.99	0.99	0.99	0.97	0.99	0.74	1.00	0.70	0.85	0.86	0.73	0.02
JXMV01061786.1	700	1.00	0.97	0.98	1.00	0.85	0.91	1.00	0.98	0.99	0.99	0.98	0.92	0.62	0.97	0.94	1.00	1.00	0.03	0.85	1.00	0.86	0.85
JXMV01061786.1	707	0.97	0.80	0.91	0.96	1.00	1.00	1.00	0.94	0.91	0.98	0.94	0.89	0.98	0.90	0.96	0.74	1.00	1.00	0.99	1.00	0.94	0.85
JXMV01061786.1	709	0.01	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
JXMV01061786.1	840	0.93	0.93	0.45	0.91	0.83	1.00	0.97	1.00	0.97	0.95	0.92	0.89	0.97	0.87	0.99	0.42	1.00	0.93	0.94	0.95	0.97	0.92
JXMV01061786.1	876	0.76	0.69	0.98	0.70	0.87	1.00	0.87	0.96	0.98	0.95	0.92	0.88	0.95	0.90	0.96	0.34	0.56	0.77	0.69	0.92	0.81	0.83
JXMV01061828.1	2974	0.75	0.63	0.90	0.97	0.99	0.90	0.99	0.57	0.98	0.59	0.96	0.75	0.82	0.97	0.64	0.99	0.83	0.86	0.69	0.97	0.91	0.78
JXMV01062064.1	2830	0.30	0.77	0.16	0.04	0.25	0.00	0.38	0.41	0.29	0.00	0.39	0.28	0.47	0.06	0.00	0.11	0.03	0.35	0.38	0.03	0.19	0.06
JXMV01062423.1	2865	0.87	1.00	0.64	0.03	0.99	1.00	0.79	1.00	1.00	0.93	1.00	0.79	0.98	0.84	1.00	1.00	1.00	1.00	1.00	0.23	0.99	1.00
JXMV01062978.1	1977	0.30	0.77	0.16	0.04	0.25	0.00	0.38	0.41	0.29	0.00	0.39	0.28	0.47	0.06	0.00	0.11	0.03	0.35	0.38	0.03	0.19	0.06
JXMV01063045.1	1910	0.87	0.90	0.81	0.80	0.71	1.00	0.67	0.90	0.82	0.91	0.80	0.81	0.81	0.96	0.76	0.67	0.18	0.61	0.87	1.00	0.83	0.53
JXMV01063045.1	1927	0.72	0.95	0.72	0.69	0.83	1.00	0.15	0.87	0.79	0.78	0.85	0.63	0.80	0.97	0.78	0.88	0.91	0.98	0.84	0.81	0.89	1.00
JXMV01063311.1	1197	0.16	0.21	0.00	0.04	0.07	0.02	0.04	0.86	0.11	0.00	0.67	0.07	0.06	0.38	0.65	0.07	0.05	0.05	0.14	0.00	0.30	0.08
JXMV01063311.1	1245	0.33	0.63	0.47	0.01	0.32	0.00	0.07	0.22	0.01	0.28	0.58	0.49	0.33	0.24	0.61	0.13	0.63	0.09	0.72	0.42	0.35	0.00
