chr	pos	20_20-N4	20_20-N2	20_20-N1	OC_OC-N5	OC_OC-N1	OC_OC-N2	OC_OC-N4
JXMV01054708.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01054708.1:1:12217:1 REF	9252	0.58	0.10	1.00	1.00	0.99	0.85	0.11
JXMV01054708.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01054708.1:1:12217:1 REF	9257	0.57	0.14	1.00	1.00	1.00	1.00	0.96
JXMV01054708.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01054708.1:1:12217:1 REF	9341	1.00	1.00	1.00	1.00	1.00	1.00	1.00
JXMV01054708.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01054708.1:1:12217:1 REF	9356	0.48	1.00	1.00	1.00	1.00	1.00	1.00
JXMV01054708.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01054708.1:1:12217:1 REF	9371	1.00	1.00	1.00	1.00	1.00	1.00	1.00
JXMV01064397.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064397.1:1:6078:1 REF	78	0.93	1.00	1.00	0.84	0.98	0.46	0.42
JXMV01064449.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064449.1:1:5500:1 REF	74	0.50	0.75	1.00	0.71	0.34	0.21	0.74
JXMV01064453.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064453.1:1:5635:1 REF	105	0.61	0.63	0.42	0.30	0.40	0.63	0.56
JXMV01064460.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064460.1:1:7761:1 REF	46	0.85	0.85	0.72	0.50	0.78	0.74	0.50
JXMV01064460.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064460.1:1:7761:1 REF	56	0.34	0.83	0.52	0.57	0.81	0.65	0.50
JXMV01064658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064658.1:1:6306:1 REF	6195	0.18	0.40	0.19	0.86	0.20	0.89	0.46
JXMV01064755.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064755.1:1:3431:1 REF	2142	1.00	1.00	1.00	0.99	1.00	1.00	1.00
JXMV01064755.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064755.1:1:3431:1 REF	2149	0.99	1.00	1.00	1.00	1.00	1.00	0.69
