chr	pos	NO_20-S1	NO_20-S3	NO_20-S4	NO_20-S2	OC_OC-S1	OC_OC-S2	OC_OC-S3	OC_OC-S5
JXMV01053382.1	867	0.46	0.42	0.50	0.00	0.32	0.70	0.60	0.73
JXMV01053681.1	9157	0.00	0.01	0.00	0.00	0.01	0.00	0.00	0.01
JXMV01054824.1	3451	0.33	0.25	0.46	0.00	0.46	0.07	0.46	1.00
JXMV01054824.1	3469	0.10	0.20	0.12	0.00	0.02	0.00	0.23	0.00
JXMV01054824.1	3507	0.20	0.15	0.21	0.00	0.54	0.21	0.42	0.00
JXMV01054824.1	3509	0.79	0.34	0.63	0.00	0.74	0.07	1.00	1.00
JXMV01054824.1	3520	0.00	0.25	0.16	0.00	0.26	0.00	0.08	0.00
JXMV01056319.1	89	0.06	0.05	0.06	0.00	0.02	0.08	0.02	0.00
JXMV01056319.1	145	0.08	0.03	0.01	0.00	0.02	0.03	0.34	0.75
JXMV01057363.1	4077	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01057363.1	4120	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01057451.1	2375	0.40	0.07	0.32	0.00	0.04	0.08	0.29	0.09
JXMV01057451.1	2455	0.22	0.03	0.03	0.00	0.00	0.38	0.02	0.08
JXMV01058002.1	5460	0.99	0.53	0.82	1.00	0.99	1.00	0.96	1.00
JXMV01058002.1	5475	0.82	0.52	0.69	0.99	0.86	0.91	0.47	0.02
JXMV01058002.1	5524	0.84	0.30	1.00	0.99	0.63	0.38	0.80	1.00
JXMV01058002.1	5527	0.84	0.36	0.82	1.00	0.53	0.67	0.88	1.00
JXMV01058002.1	5626	1.00	1.00	0.81	1.00	1.00	0.97	0.67	1.00
JXMV01058392.1	141	0.00	0.41	0.17	0.00	0.00	0.00	0.00	0.00
JXMV01058392.1	169	0.16	0.11	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01058392.1	174	0.00	0.00	0.11	0.00	0.11	0.60	0.00	0.00
JXMV01058392.1	183	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00
JXMV01058392.1	190	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01058392.1	197	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00
JXMV01058392.1	220	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01058392.1	238	0.19	0.01	0.00	0.00	0.02	0.00	0.00	0.00
JXMV01058392.1	239	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01058392.1	254	0.00	0.10	0.00	0.00	0.10	0.00	0.00	0.00
JXMV01059102.1	4822	0.83	0.54	0.61	0.96	0.33	0.57	0.18	0.05
JXMV01059912.1	65	0.89	0.85	0.91	0.88	0.97	0.56	0.84	0.11
JXMV01060553.1	2676	0.02	0.10	0.00	0.00	0.68	0.00	0.02	0.00
JXMV01060553.1	2705	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01060553.1	2711	0.00	0.00	0.00	0.94	0.00	0.00	0.20	0.00
JXMV01061197.1	4498	0.86	0.97	0.99	0.75	0.98	0.97	0.80	0.00
JXMV01061786.1	681	0.99	0.99	0.99	1.00	0.85	0.86	0.73	0.02
JXMV01061786.1	700	0.98	0.92	0.62	1.00	0.85	1.00	0.86	0.85
JXMV01061786.1	707	0.94	0.89	0.98	1.00	0.99	1.00	0.94	0.85
JXMV01061786.1	709	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.00
JXMV01061786.1	728	0.84	0.45	0.85	0.61	0.65	0.47	0.66	0.03
JXMV01061786.1	840	0.92	0.89	0.97	1.00	0.94	0.95	0.97	0.92
JXMV01061786.1	876	0.92	0.88	0.95	0.56	0.69	0.92	0.81	0.83
JXMV01061828.1	2974	0.96	0.75	0.82	0.83	0.69	0.97	0.91	0.78
JXMV01062064.1	2830	0.39	0.28	0.47	0.03	0.38	0.03	0.19	0.06
JXMV01062423.1	2865	1.00	0.79	0.98	1.00	1.00	0.23	0.99	1.00
JXMV01062978.1	1977	0.39	0.28	0.47	0.03	0.38	0.03	0.19	0.06
JXMV01062993.1	585	0.86	0.66	0.88	0.09	0.83	0.40	0.86	1.00
JXMV01062993.1	596	0.79	0.54	0.79	0.00	0.78	1.00	0.92	0.99
JXMV01062993.1	599	0.42	0.09	0.80	0.62	0.69	0.86	0.70	1.00
JXMV01062993.1	612	0.58	0.07	0.76	0.94	0.76	0.89	0.81	1.00
JXMV01062993.1	615	0.58	0.07	0.56	0.31	0.00	0.86	0.18	0.00
JXMV01062993.1	626	0.47	0.36	0.80	0.94	0.76	0.93	0.87	0.00
JXMV01063045.1	1910	0.80	0.81	0.81	0.18	0.87	1.00	0.83	0.53
JXMV01063045.1	1927	0.85	0.63	0.80	0.91	0.84	0.81	0.89	1.00
JXMV01063086.1	1392	0.00	0.00	0.02	0.00	0.00	0.00	0.05	0.00
JXMV01063311.1	1197	0.67	0.07	0.06	0.05	0.14	0.00	0.30	0.08
JXMV01063311.1	1245	0.58	0.49	0.33	0.63	0.72	0.42	0.35	0.00
JXMV01063326.1	404	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063326.1	489	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00
JXMV01063326.1	493	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
JXMV01063326.1	495	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00
JXMV01063326.1	498	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
