x
plot.pdf	ENSG_ID	methylation_region	adj.R2	rho	rho.p-val
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046366.1:8350099-8350791_anxa13l.pdf	anxa13l	NC_046366.1:8350099-8350791	-0.14	0.26	0.5704
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046365.1:37280358-37280777_arhgap10.pdf	arhgap10	NC_046365.1:37280358-37280777	0.18	0.45	0.3104
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046372.1:40417548-40417753_arvcfb.pdf	arvcfb	NC_046372.1:40417548-40417753	0.19	0.57	0.2
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046368.1:7384187-7385830_cacna1bb.pdf	cacna1bb	NC_046368.1:7384187-7385830	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046381.1:33303844-33304404_cpne3.pdf	cpne3	NC_046381.1:33303844-33304404	0.08	0.41	0.3553
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046383.1:26686118-26686700_ctnna1.pdf	ctnna1	NC_046383.1:26686118-26686700	0.39	0.57	0.2
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046373.1:17202992-17203528_dennd3a.pdf	dennd3a	NC_046373.1:17202992-17203528	0.41	0.68	0.1095
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NW_023397044.1:1608779-1608864_fbl.pdf	fbl	NW_023397044.1:1608779-1608864	0.37	0.75	0.0663
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046373.1:2165693-2165800_fndc5b.pdf	fndc5b	NC_046373.1:2165693-2165800	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NW_023396522.1:97637-97781_hspa8.pdf	hspa8	NW_023396522.1:97637-97781	0.48	0.57	0.2
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NW_023396562.1:429896-430444_lhx1a.pdf	lhx1a	NW_023396562.1:429896-430444	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046365.1:25243861-25243930_LOC105918825.pdf	LOC105918825	NC_046365.1:25243861-25243930	-0.2	-0.08	0.865
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046364.1:33298295-33298366_LOC105919744.pdf	LOC105919744	NC_046364.1:33298295-33298366	0.13	0.71	0.0881
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046376.1:37591094-37591178_LOC105919934.pdf	LOC105919934	NC_046376.1:37591094-37591178	-0.05	-0.43	0.3351
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046364.1:40892789-40892994_LOC105920405.pdf	LOC105920405	NC_046364.1:40892789-40892994	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NW_023397461.1:628556-629582_LOC105921157.pdf	LOC105921157	NW_023397461.1:628556-629582	0.1	0.34	0.4523
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NW_023397202.1:16469-16563_LOC105923802.pdf	LOC105923802	NW_023397202.1:16469-16563	0.62	0.77	0.0408
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046363.1:21695863-21695936_LOC105926375.pdf	LOC105926375	NC_046363.1:21695863-21695936	-0.19	0.22	0.6312
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046369.1:23726159-23726654_LOC105927826.pdf	LOC105927826	NC_046369.1:23726159-23726654	-0.19	0	1
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046369.1:23726654-23726719_LOC105927826.pdf	LOC105927826	NC_046369.1:23726654-23726719	-0.05	0.41	0.3632
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046381.1:6070824-6070974_LOC105935743.pdf	LOC105935743	NC_046381.1:6070824-6070974	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046374.1:27454661-27454755_LOC105935943.pdf	LOC105935943	NC_046374.1:27454661-27454755	0.55	0.71	0.0881
