chr	pos	N_OC-N5	N_OC-N1	N_OC-N2	N_OC-N4	S_OC-S1	S_OC-S2	S_OC-S3	S_OC-S5
JXMV01064171.1	3112	0.88	0.84	0.91	0.88	0.88	0.92	0.90	1.00
JXMV01064171.1	3119	0.71	0.62	0.74	0.84	0.93	0.79	0.90	0.80
JXMV01064461.1	1663	0.61	0.60	0.99	0.99	0.65	0.95	0.48	1.00
JXMV01064601.1	2626	0.19	0.51	0.15	0.16	0.24	0.15	0.22	0.36
JXMV01065326.1	1802	0.67	0.89	0.38	0.94	0.62	0.28	0.57	1.00
JXMV01065715.1	1006	0.92	1.00	0.86	1.00	0.88	0.50	0.94	1.00
JXMV01065828.1	841	0.67	0.64	0.90	1.00	0.81	1.00	1.00	1.00
JXMV01067159.1	184	0.38	0.66	0.43	0.77	0.60	0.77	0.35	0.36
KN805525.1	3135368	0.92	0.89	0.94	0.91	0.92	0.76	0.86	0.97
KN805525.1	3135370	0.65	0.94	0.76	0.98	0.94	0.65	0.93	0.97
KN805525.1	3135375	0.93	0.94	0.96	0.91	0.94	0.82	0.97	0.97
KN805525.1	3135381	0.74	0.89	0.98	0.96	0.98	0.82	0.90	1.00
KN805525.1	4879748	0.71	1.00	0.98	0.82	0.76	1.00	1.00	1.00
KN805525.1	4879750	0.71	0.70	1.00	0.89	0.86	1.00	1.00	1.00
KN805525.1	4879756	1.00	1.00	1.00	0.50	1.00	1.00	0.94	1.00
KN805525.1	4879758	1.00	1.00	1.00	0.93	1.00	1.00	0.79	1.00
KN805525.1	4879767	1.00	1.00	0.98	1.00	0.86	1.00	1.00	1.00
KN805526.1	4264885	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN805526.1	5309599	0.25	0.32	0.35	0.67	0.21	0.78	0.94	0.53
KN805526.1	5310490	0.97	1.00	0.97	1.00	1.00	0.96	1.00	1.00
KN805531.1	53516	0.23	0.11	0.19	0.11	0.23	0.10	0.14	0.24
KN805535.1	414192	0.69	1.00	0.94	0.87	0.82	0.77	0.92	0.86
KN805536.1	440932	0.90	0.98	0.97	1.00	1.00	0.94	0.91	0.73
KN805545.1	129085	0.52	0.92	0.75	0.83	0.62	0.97	0.44	0.78
KN805545.1	457392	0.40	0.97	0.61	0.98	0.98	0.86	0.88	0.99
KN805545.1	457398	0.95	1.00	0.62	0.53	1.00	0.86	0.79	1.00
KN805545.1	457403	0.29	1.00	1.00	1.00	0.97	0.86	0.65	0.98
