chr	pos	NO_20-N4	NO_20-N2	NO_20-N1	HY_5-N1	HY_5-N2	HY_5-N3
JXMV01056008.1	10409	0.25	0.40	0.19	0.82	0.78	0.91
JXMV01062423.1	2864	0.33	0.69	1.00	0.12	0.82	0.45
JXMV01064357.1	5983	0.44	0.97	0.81	0.57	0.15	0.87
JXMV01064374.1	6299	0.41	0.12	0.24	0.20	0.62	0.37
JXMV01064374.1	6310	0.53	0.25	0.57	0.50	0.66	0.44
JXMV01064381.1	2179	0.17	0.38	0.33	0.40	0.30	0.10
JXMV01064397.1	78	0.93	1.00	1.00	0.42	1.00	0.96
JXMV01064449.1	74	0.50	0.75	1.00	0.35	0.47	0.21
JXMV01064453.1	105	0.61	0.63	0.42	0.75	0.61	0.59
JXMV01064460.1	46	0.85	0.85	0.72	0.57	0.56	0.46
JXMV01064460.1	56	0.34	0.83	0.52	0.52	0.42	0.58
JXMV01064601.1	520	1.00	0.63	1.00	0.38	0.77	1.00
JXMV01064601.1	2607	0.30	0.48	0.24	0.28	0.57	0.19
JXMV01064658.1	6195	0.18	0.40	0.19	0.84	0.69	0.97
JXMV01064722.1	39	0.68	0.19	0.88	0.55	0.30	0.88
JXMV01064793.1	984	0.37	0.68	0.45	0.80	0.32	0.77
JXMV01064810.1	69	0.55	0.23	0.73	0.81	0.83	0.82
JXMV01065060.1	4788	0.41	0.13	0.14	0.44	0.66	0.43
JXMV01065086.1	4596	0.73	0.56	0.96	0.93	0.80	0.66
JXMV01065086.1	4604	0.69	0.56	0.96	0.98	0.92	0.75
JXMV01065226.1	42	0.96	0.22	0.67	0.90	0.80	0.98
JXMV01065341.1	1827	0.82	0.45	0.10	0.57	0.30	0.60
JXMV01065431.1	563	0.91	0.88	0.81	0.66	0.88	0.88
JXMV01065431.1	595	0.51	0.96	0.95	0.45	0.95	0.86
JXMV01065431.1	597	0.55	0.91	0.84	0.51	0.91	0.79
JXMV01065431.1	602	0.50	0.87	0.89	0.53	0.95	0.83
JXMV01065520.1	2623	0.86	1.00	1.00	1.00	1.00	0.98
JXMV01065520.1	2657	0.86	1.00	1.00	0.94	0.59	0.88
JXMV01065520.1	2662	0.79	0.70	1.00	0.96	1.00	0.76
JXMV01065542.1	1722	0.86	0.21	0.90	0.67	0.73	0.67
JXMV01065542.1	1808	0.64	0.82	0.84	0.91	0.92	0.59
JXMV01065583.1	41	0.95	0.18	0.46	0.86	0.91	0.32
JXMV01065833.1	21	1.00	0.62	1.00	0.32	0.74	1.00
JXMV01066033.1	55	0.33	0.26	0.27	0.16	0.16	0.11
JXMV01066217.1	689	0.94	0.91	0.17	0.89	0.87	0.78
JXMV01066217.1	705	0.96	1.00	1.00	0.89	0.85	0.97
JXMV01067159.1	184	0.69	0.70	0.42	0.76	0.67	0.39
KN805525.1	43179	0.48	0.52	0.73	0.61	0.66	0.53
KN805525.1	2013593	0.93	0.36	0.34	0.60	0.35	0.58
KN805525.1	2931607	0.33	0.27	0.26	0.40	0.10	0.33
KN805525.1	3637703	0.71	0.50	1.00	0.78	0.77	0.83
KN805525.1	6165344	0.95	0.94	1.00	0.91	0.69	0.40
KN805525.1	6180300	0.94	0.18	0.14	0.56	0.54	0.57
KN805526.1	1085512	0.79	1.00	0.90	0.91	1.00	0.71
KN805526.1	1085531	0.73	0.96	0.71	0.38	0.43	0.88
KN805526.1	1759008	0.67	0.80	1.00	0.44	0.60	0.86
KN805526.1	3951454	0.95	1.00	0.94	1.00	0.94	0.95
KN805526.1	3951474	0.90	0.80	0.88	0.90	0.88	0.95
KN805526.1	4004679	0.93	0.30	0.80	0.91	0.93	0.69
KN805526.1	4004692	0.90	0.50	0.65	0.87	0.88	0.78
KN805526.1	4264886	1.00	0.97	1.00	0.97	1.00	1.00
KN805526.1	4810799	0.82	0.28	0.81	0.27	0.74	0.75
KN805526.1	4935964	0.25	0.40	0.19	0.82	0.78	0.91
KN805526.1	5866562	0.86	0.91	0.93	0.87	0.96	0.93
KN805526.1	5866574	1.00	1.00	0.98	0.97	0.95	1.00
KN805527.1	1858200	0.45	0.36	1.00	0.90	0.50	0.72
KN805527.1	2315860	0.85	1.00	0.81	0.88	0.96	0.83
KN805527.1	2699420	0.85	0.50	0.82	0.82	0.48	0.73
KN805527.1	2699426	0.86	1.00	0.93	0.79	0.62	0.97
KN805527.1	3816368	0.76	1.00	1.00	0.87	0.90	0.89
KN805528.1	1107973	0.88	0.80	1.00	0.98	0.84	0.88
KN805528.1	1107994	0.74	1.00	1.00	0.90	0.80	0.82
KN805528.1	1878968	0.91	1.00	1.00	1.00	0.91	0.98
KN805528.1	1878980	0.88	0.57	1.00	0.98	0.99	0.95
KN805528.1	1878986	0.82	1.00	1.00	1.00	0.99	0.98
KN805528.1	1878994	1.00	0.11	1.00	0.63	0.61	0.40
KN805528.1	1879002	1.00	1.00	1.00	0.98	1.00	1.00
KN805530.1	453250	0.77	0.73	0.47	0.77	0.69	0.73
KN805534.1	131081	0.91	0.60	0.83	1.00	0.95	0.86
KN805535.1	414192	0.79	0.77	0.89	0.73	0.89	0.91
KN805535.1	722279	0.92	0.94	1.00	1.00	0.88	0.77
KN805535.1	722281	0.97	0.89	0.48	0.95	0.96	0.77
KN805535.1	722290	0.95	1.00	1.00	0.91	0.89	0.69
KN805535.1	722299	0.99	0.22	1.00	0.96	0.54	0.92
KN805536.1	440964	1.00	1.00	1.00	1.00	0.68	1.00
KN805536.1	440974	0.31	1.00	1.00	0.24	1.00	0.46
KN805541.1	149802	0.93	0.59	1.00	0.63	0.55	0.90
KN805541.1	314311	0.17	0.10	0.28	0.21	0.26	0.24
KN805541.1	492721	0.46	0.88	0.35	0.53	0.68	0.16
KN805541.1	649966	0.85	0.98	0.42	1.00	0.81	0.91
KN805541.1	649983	0.63	0.47	0.96	0.74	0.78	0.84
KN805541.1	713960	0.88	0.25	1.00	0.38	0.69	0.84
KN805545.1	129085	0.73	0.84	0.27	0.72	0.59	0.52
KN805545.1	652718	1.00	1.00	1.00	1.00	0.94	1.00
KN805545.1	652725	1.00	1.00	1.00	1.00	1.00	1.00
KN805545.1	850632	0.88	0.92	1.00	0.83	0.87	0.64
KN805545.1	850645	0.95	0.92	0.80	0.89	0.96	0.61
KN805549.1	381279	0.86	0.89	0.98	0.91	0.87	0.92
KN805549.1	381286	0.82	0.85	0.84	0.68	0.72	0.84
KN805549.1	490335	0.20	0.12	0.50	0.40	0.57	0.89
KN805550.1	1982	0.83	0.80	0.51	0.84	0.68	0.61
KN805550.1	1992	0.87	0.82	0.72	0.87	0.75	0.59
KN805550.1	52135	0.65	0.96	0.94	0.55	0.96	0.92
KN805550.1	221295	0.87	0.67	0.55	0.55	0.72	0.87
KN805550.1	514178	0.96	0.75	0.18	0.33	1.00	0.78
KN805554.1	210480	0.85	0.83	0.57	0.55	0.90	0.58
KN805554.1	210504	0.74	0.33	0.62	0.98	0.65	0.93
KN805554.1	336044	0.81	0.50	0.95	0.50	0.96	0.92
KN805557.1	165628	0.51	1.00	1.00	0.89	0.91	0.97
KN805559.1	299209	0.11	0.89	0.68	0.55	0.20	0.53
KN805561.1	469415	0.88	0.80	1.00	0.91	0.92	0.95
KN805561.1	469421	0.87	0.70	0.81	0.61	0.95	0.92
KN805561.1	469426	0.88	0.77	1.00	0.93	0.60	0.84
KN805561.1	469428	0.84	0.63	1.00	0.81	0.94	0.89
KN805561.1	469460	0.83	0.57	0.95	0.82	0.82	0.84
KN805561.1	782312	0.11	0.76	0.60	0.92	0.56	0.68
KN805562.1	327392	1.00	1.00	1.00	1.00	1.00	1.00
KN805562.1	327400	0.50	1.00	1.00	1.00	1.00	1.00
KN805564.1	39416	0.25	0.40	0.19	0.82	0.61	0.94
KN805569.1	566955	0.61	0.72	0.76	0.68	0.72	0.60
KN805571.1	33484	0.67	1.00	0.87	0.44	0.97	0.62
KN805571.1	33492	0.47	0.96	1.00	0.90	0.97	0.85
KN805571.1	33525	0.57	1.00	1.00	1.00	0.97	0.46
KN805571.1	57429	0.73	0.18	0.10	0.60	0.40	0.69
KN805572.1	467680	0.81	0.69	0.96	0.64	0.93	0.96
KN805572.1	641901	0.90	1.00	1.00	0.87	0.90	0.89
KN805573.1	284244	0.44	0.23	0.33	0.23	0.54	0.60
KN805573.1	733846	0.70	0.12	0.73	0.48	0.86	0.57
KN805573.1	733898	0.57	0.82	0.57	0.75	0.55	0.79
KN805573.1	733906	0.95	0.81	0.97	0.89	0.95	0.92
KN805573.1	739160	0.58	0.68	1.00	0.98	0.94	1.00
KN805574.1	27159	0.89	0.16	0.94	0.71	0.98	0.75
KN805574.1	27183	0.60	0.26	0.89	0.73	0.96	0.74
KN805575.1	138733	0.97	0.93	0.93	0.95	0.94	0.88
KN805575.1	138753	0.93	0.32	0.87	0.95	0.94	0.85
KN805577.1	426625	0.98	0.94	0.82	0.97	0.97	0.90
KN805577.1	628014	0.73	0.43	0.68	0.74	0.61	0.77
KN805578.1	714255	0.61	0.62	0.89	0.85	0.50	0.80
KN805578.1	721391	0.75	1.00	1.00	0.95	0.43	0.98
KN805579.1	32093	0.48	0.53	0.22	0.53	0.51	0.86
KN805579.1	598587	0.90	1.00	1.00	0.87	0.90	0.89
KN805580.1	37644	0.79	0.68	0.83	0.61	0.97	0.61
KN805580.1	37676	0.86	0.95	0.67	0.88	0.71	0.76
KN805580.1	37678	0.89	0.85	0.92	0.83	0.93	0.94
KN805580.1	37683	0.92	0.85	0.92	0.96	0.93	0.88
KN805582.1	207216	0.99	1.00	1.00	0.72	1.00	0.98
KN805582.1	207222	0.66	1.00	0.64	0.70	0.49	0.88
KN805582.1	207243	0.14	1.00	0.80	0.72	0.95	0.85
KN805583.1	710213	0.62	0.83	0.51	0.52	0.44	0.53
KN805583.1	710223	0.72	0.81	0.72	0.60	0.58	0.53
KN805583.1	710703	0.61	0.70	0.23	0.96	0.98	0.96
KN805584.1	329663	0.75	1.00	0.92	0.75	0.98	1.00
KN805584.1	329672	0.78	1.00	1.00	0.54	0.12	0.99
KN805584.1	329709	0.83	1.00	1.00	0.56	0.12	1.00
KN805584.1	509492	0.62	0.41	0.67	0.75	0.60	0.57
KN805584.1	509503	0.90	1.00	1.00	0.93	0.94	0.97
KN805584.1	509550	1.00	0.58	1.00	0.83	0.85	0.41
KN805584.1	509586	0.62	0.40	0.65	0.84	0.60	0.59
KN805584.1	509597	0.91	1.00	1.00	0.95	0.94	0.94
KN805584.1	509627	0.77	0.50	1.00	0.84	0.84	0.35
KN805584.1	511434	0.15	0.50	0.27	0.56	0.78	0.92
KN805584.1	785497	0.46	0.88	0.35	0.52	0.68	0.16
KN805585.1	38362	0.95	0.87	0.82	0.81	0.89	0.91
KN805585.1	38370	0.92	0.80	0.64	0.71	0.89	0.93
KN805585.1	676133	0.80	0.60	0.16	0.27	0.54	0.15
KN805586.1	709200	0.59	0.72	1.00	0.77	0.70	0.60
KN805586.1	709208	0.61	0.46	0.42	0.51	0.54	0.45
KN805586.1	709296	0.88	0.85	0.85	0.95	0.94	0.94
KN805586.1	709318	0.90	0.90	1.00	0.97	0.99	0.90
KN805586.1	709331	0.90	0.94	1.00	0.97	0.62	0.69
KN805586.1	709334	0.93	0.96	0.85	0.97	0.99	0.92
KN805589.1	595425	0.82	0.27	0.44	0.14	0.13	0.42
KN805602.1	553854	0.73	0.22	0.76	0.38	0.83	0.94
KN805602.1	553860	0.73	0.17	1.00	0.41	0.87	0.84
KN805603.1	1076481	0.72	0.45	0.93	0.86	0.88	0.88
KN805603.1	1076494	0.74	0.45	0.96	0.96	0.86	0.88
KN805603.1	2242709	0.24	0.28	0.10	0.61	0.29	0.41
KN805603.1	2829705	0.97	1.00	1.00	0.63	1.00	0.96
KN805603.1	3026781	0.96	0.92	1.00	0.68	0.52	0.91
KN805603.1	3026788	1.00	0.97	0.92	0.95	0.94	0.46
KN805603.1	3026812	0.96	0.24	0.92	0.95	0.94	0.90
KN805603.1	3049312	0.90	1.00	0.96	0.86	0.94	0.91
KN805603.1	3091668	0.99	0.89	1.00	0.83	0.95	0.96
KN805603.1	3252362	0.64	0.42	0.24	0.56	0.47	0.65
KN805603.1	3252386	0.73	0.63	0.56	0.85	0.75	0.81
KN805603.1	3354636	0.91	0.60	0.47	0.20	0.86	0.90
KN805603.1	3687825	0.86	0.43	0.97	0.92	0.81	0.90
KN805603.1	3944396	0.91	0.96	0.87	0.60	0.96	0.85
KN805603.1	3944404	0.91	0.98	0.77	0.93	0.98	0.96
KN805603.1	3944431	0.95	0.99	0.74	1.00	0.95	0.98
KN805604.1	3648207	0.95	0.95	1.00	0.92	0.19	0.82
KN805604.1	3723613	0.73	0.46	0.91	0.75	0.59	0.64
KN805605.1	12347	0.87	0.29	0.67	0.34	0.89	0.99
KN805605.1	12379	0.80	0.24	1.00	0.42	0.90	0.98
KN805605.1	12381	0.61	0.95	1.00	0.42	0.85	0.99
