chr	pos	20_20-N4	20_20-N2	20_20-N1	5_5-N1	5_5-N2	5_5-N3
JXMV01056008.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01056008.1:1:10514:1 REF	10409	0.25	0.40	0.19	0.82	0.78	0.91
JXMV01062423.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01062423.1:1:3234:1 REF	2864	0.33	0.69	1.00	0.12	0.82	0.45
JXMV01064357.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064357.1:1:8891:1 REF	5983	0.44	0.97	0.81	0.57	0.15	0.87
JXMV01064374.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064374.1:1:6363:1 REF	6299	0.41	0.12	0.24	0.20	0.62	0.37
JXMV01064374.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064374.1:1:6363:1 REF	6310	0.53	0.25	0.57	0.50	0.66	0.44
JXMV01064381.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064381.1:1:12819:1 REF	2179	0.17	0.38	0.33	0.40	0.30	0.10
JXMV01064397.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064397.1:1:6078:1 REF	78	0.93	1.00	1.00	0.42	1.00	0.96
JXMV01064449.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064449.1:1:5500:1 REF	74	0.50	0.75	1.00	0.35	0.47	0.21
JXMV01064453.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064453.1:1:5635:1 REF	105	0.61	0.63	0.42	0.75	0.61	0.59
JXMV01064460.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064460.1:1:7761:1 REF	46	0.85	0.85	0.72	0.57	0.56	0.46
JXMV01064460.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064460.1:1:7761:1 REF	56	0.34	0.83	0.52	0.52	0.42	0.58
JXMV01064601.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064601.1:1:4181:1 REF	520	1.00	0.63	1.00	0.38	0.77	1.00
JXMV01064601.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064601.1:1:4181:1 REF	2607	0.30	0.48	0.24	0.28	0.57	0.19
JXMV01064658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064658.1:1:6306:1 REF	6195	0.18	0.40	0.19	0.84	0.69	0.97
JXMV01064722.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064722.1:1:3497:1 REF	39	0.68	0.19	0.88	0.55	0.30	0.88
JXMV01064793.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064793.1:1:3168:1 REF	984	0.37	0.68	0.45	0.80	0.32	0.77
JXMV01064810.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064810.1:1:5344:1 REF	69	0.55	0.23	0.73	0.81	0.83	0.82
JXMV01065060.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065060.1:1:4848:1 REF	4788	0.41	0.13	0.14	0.44	0.66	0.43
JXMV01065086.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065086.1:1:4806:1 REF	4596	0.73	0.56	0.96	0.93	0.80	0.66
JXMV01065086.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065086.1:1:4806:1 REF	4604	0.69	0.56	0.96	0.98	0.92	0.75
JXMV01065226.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065226.1:1:2337:1 REF	42	0.96	0.22	0.67	0.90	0.80	0.98
JXMV01065341.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065341.1:1:4652:1 REF	1827	0.82	0.45	0.10	0.57	0.30	0.60
JXMV01065431.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065431.1:1:1920:1 REF	563	0.91	0.88	0.81	0.66	0.88	0.88
JXMV01065431.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065431.1:1:1920:1 REF	595	0.51	0.96	0.95	0.45	0.95	0.86
