chr	pos	NO_20-S1	NO_20-S3	NO_20-S4	NO_20-S2	HY_5-S3	HY_5-S4	HY_5-S2	HY_5-S1
JXMV01059847.1	2053	0.68	0.84	0.74	1.00	0.23	0.85	0.36	1.00
JXMV01059847.1	2091	1.00	0.94	0.97	1.00	0.33	0.86	0.62	1.00
JXMV01064171.1	3112	0.95	0.40	0.94	1.00	0.91	0.96	0.78	0.69
JXMV01064601.1	2626	0.37	0.11	0.39	0.14	0.14	0.35	0.19	0.23
JXMV01065341.1	1827	0.55	0.57	0.74	1.00	0.72	0.71	0.43	0.74
JXMV01065520.1	2669	0.91	0.81	0.93	0.83	0.95	0.94	0.88	0.94
KN805525.1	2779511	0.87	1.00	0.93	0.11	0.85	1.00	0.52	0.93
KN805525.1	3135370	0.88	0.91	0.98	1.00	0.96	0.91	0.95	0.91
KN805525.1	3135375	0.86	0.87	0.91	0.88	0.83	0.69	0.86	0.90
KN805525.1	3135381	0.91	0.95	0.97	1.00	0.95	0.83	0.91	0.94
KN805526.1	5735974	0.12	0.69	0.66	0.20	0.74	0.67	0.38	0.15
KN805526.1	5866531	0.89	0.97	0.89	0.70	0.76	0.80	0.97	0.86
KN805526.1	5866538	0.93	0.99	0.90	0.90	0.80	0.78	1.00	0.93
KN805526.1	5866580	0.92	1.00	1.00	0.90	0.97	0.98	1.00	0.97
KN805526.1	5866588	0.90	1.00	0.95	0.90	0.83	0.94	0.95	0.94
KN805526.1	5974178	0.78	0.47	0.71	0.40	0.67	0.66	0.50	0.83
KN805526.1	5974202	0.77	0.76	0.73	0.25	0.47	0.75	0.56	0.54
KN805526.1	5974214	0.87	0.99	0.80	0.56	0.56	0.91	0.74	0.83
KN805529.1	227288	0.84	0.75	0.57	1.00	1.00	0.88	1.00	1.00
KN805529.1	227327	0.52	0.23	0.97	1.00	1.00	0.97	1.00	0.93
KN805529.1	227333	1.00	1.00	0.66	1.00	1.00	1.00	1.00	1.00
KN805530.1	453250	0.95	0.92	0.78	0.67	0.82	0.61	0.95	0.92
KN805535.1	414192	0.92	1.00	0.62	0.77	0.79	0.88	0.95	0.30
KN805537.1	139227	0.59	0.43	0.12	0.14	0.30	0.92	0.40	1.00
KN805541.1	649966	0.88	0.78	0.70	1.00	0.88	0.66	0.79	1.00
KN805541.1	649983	0.73	0.75	0.74	1.00	0.72	0.69	0.75	1.00
KN805562.1	5134	0.81	0.49	0.82	0.56	0.81	0.96	0.81	1.00
KN805562.1	5140	0.90	0.53	0.74	0.56	0.89	1.00	0.91	1.00
KN805563.1	583986	0.97	0.97	0.88	0.80	0.16	0.28	1.00	0.77
KN805563.1	583999	0.61	0.44	1.00	0.90	0.12	1.00	1.00	0.94
KN805563.1	584002	0.61	0.98	0.97	0.89	0.12	0.28	1.00	0.92
KN805575.1	138707	0.90	0.96	0.91	0.91	0.97	0.97	1.00	0.97
KN805575.1	138715	0.88	0.96	0.93	0.82	0.87	0.89	0.85	0.93
KN805575.1	138732	0.95	0.81	0.87	0.86	0.95	0.87	0.97	0.87
KN805575.1	138752	0.94	0.74	0.93	0.85	0.91	0.89	0.87	0.87
KN805586.1	236129	0.96	1.00	0.97	0.11	1.00	1.00	0.97	0.93
KN805604.1	1140681	0.64	0.81	0.86	0.10	0.64	0.83	0.78	0.68
KN805605.1	291	0.91	0.56	0.75	0.57	0.86	1.00	0.90	1.00
KN805605.1	297	0.80	0.52	0.83	0.57	0.79	0.96	0.81	1.00
KN805607.1	412781	0.77	0.86	0.92	0.83	0.68	0.92	0.74	0.90
KN805610.1	285262	0.89	0.94	0.84	0.87	0.79	0.88	0.81	0.60
KN805610.1	285275	0.90	0.89	0.86	0.80	0.84	0.88	0.87	0.88
KN805610.1	285278	0.90	0.91	0.91	0.87	0.86	0.84	0.90	0.81
KN805629.1	579865	0.96	0.88	0.79	1.00	0.95	1.00	1.00	0.73
KN805630.1	203684	0.25	0.15	0.18	0.10	0.32	0.32	0.15	0.60
KN805635.1	655365	0.85	1.00	0.93	0.62	0.95	0.87	0.31	1.00
KN805645.1	450810	0.83	0.81	0.80	0.73	0.67	0.79	0.71	0.83
KN805648.1	418161	0.83	0.88	0.91	1.00	0.78	0.96	0.93	0.82
KN805658.1	30318	0.47	0.87	0.88	0.90	0.83	0.85	0.92	0.22
KN805658.1	460656	0.97	0.92	0.85	0.95	1.00	0.96	0.99	1.00
KN805660.1	200301	1.00	0.91	0.76	0.96	0.94	0.80	0.69	0.94
KN805660.1	200306	0.91	0.88	0.84	0.95	0.67	0.83	0.57	0.79
KN805660.1	200312	0.95	0.79	0.90	0.93	0.92	0.98	0.74	0.79
KN805662.1	474470	0.33	0.58	0.18	0.14	0.21	0.43	0.20	0.56
KN805670.1	459533	0.23	0.36	0.33	0.14	0.19	0.18	0.14	0.16
KN805674.1	120591	0.53	0.64	0.37	0.23	0.50	0.44	0.45	0.33
KN805674.1	120617	0.88	0.73	0.74	0.27	0.82	0.94	0.76	0.60
KN805674.1	120619	0.94	0.87	0.84	0.36	0.88	0.97	0.86	0.90
KN805677.1	9957	0.94	1.00	0.94	1.00	1.00	0.97	1.00	0.87
KN805680.1	500372	0.81	0.53	0.70	0.82	0.68	0.60	0.87	0.79
KN805689.1	140343	0.75	0.75	0.74	0.35	0.72	0.85	0.58	0.78
KN805694.1	36568	0.37	0.48	0.69	0.11	0.25	0.74	0.45	0.67
KN805697.1	178997	0.86	0.61	0.71	0.25	0.63	0.55	0.56	0.67
KN805697.1	375041	0.70	0.70	0.74	0.38	0.69	0.85	0.60	0.78
KN805698.1	2044440	0.87	0.68	0.68	0.92	0.85	0.77	0.95	0.95
KN805698.1	2807247	0.85	0.98	0.77	1.00	0.94	1.00	0.82	1.00
KN805698.1	2807486	0.83	0.89	0.92	1.00	1.00	0.61	0.92	0.33
KN805699.1	1391025	0.80	1.00	1.00	1.00	0.70	1.00	1.00	1.00
KN805701.1	194253	0.95	0.87	0.86	0.81	0.92	0.83	0.75	0.76
KN805703.1	49868	0.89	0.38	0.46	0.64	0.89	0.92	0.94	0.97
KN805726.1	474550	0.83	0.71	0.78	0.45	0.73	0.78	0.92	0.81
KN805726.1	474582	0.92	0.76	0.85	0.83	0.82	0.85	0.75	0.82
KN805726.1	474584	0.95	0.86	0.85	0.83	0.75	0.94	0.75	1.00
KN805726.1	474589	0.95	0.71	0.85	0.67	0.86	0.91	0.75	0.93
KN805741.1	373838	0.71	0.88	0.60	0.47	0.80	0.70	0.58	0.56
KN805742.1	227474	0.81	0.96	0.96	0.92	0.91	0.70	0.93	0.91
KN805742.1	227494	1.00	0.93	0.96	0.92	0.96	0.90	0.87	0.80
KN805750.1	122053	0.88	0.85	0.83	0.69	0.93	0.91	0.81	0.79
KN805750.1	122065	0.87	0.89	0.94	0.94	0.93	0.92	0.93	0.87
KN805750.1	122071	0.76	0.97	0.94	0.94	0.89	0.91	0.90	0.95
KN805750.1	122078	0.84	0.91	0.93	0.71	0.88	0.87	0.87	0.97
KN805750.1	448604	0.73	0.26	0.34	0.23	0.68	0.67	0.22	0.49
KN805750.1	448617	0.60	0.38	0.55	0.38	1.00	0.52	0.45	0.49
KN805750.1	448619	0.68	0.35	0.50	0.38	0.82	0.72	0.44	0.59
KN805750.1	448633	0.79	0.52	0.76	0.17	1.00	0.90	0.52	0.60
KN805752.1	372253	0.38	0.13	0.25	0.25	0.28	0.21	0.33	0.40
KN805755.1	234709	0.97	0.92	0.85	0.95	1.00	0.96	0.97	1.00
KN805758.1	500227	0.75	0.58	0.64	1.00	0.64	0.87	0.73	0.76
KN805763.1	369242	0.78	0.70	0.75	0.69	0.84	0.79	0.78	0.76
KN805765.1	289501	0.27	0.36	0.15	0.12	0.45	0.16	0.22	0.12
KN805769.1	81543	0.78	0.89	0.88	1.00	0.93	1.00	1.00	0.98
KN805769.1	81554	0.95	0.90	1.00	1.00	0.73	1.00	0.91	1.00
KN805776.1	253072	0.61	0.56	0.64	0.50	0.54	0.62	0.53	0.60
KN805778.1	250092	0.27	0.48	0.57	0.63	0.54	0.54	0.52	0.44
KN805781.1	185653	0.95	0.92	0.85	0.95	1.00	0.96	0.99	1.00
KN805789.1	76305	0.93	0.97	1.00	1.00	1.00	1.00	1.00	1.00
KN805789.1	76314	1.00	0.97	0.97	0.38	1.00	0.98	0.95	1.00
KN805789.1	76332	0.99	1.00	0.97	0.38	1.00	0.97	1.00	1.00
KN805792.1	275392	0.47	0.56	0.21	0.19	0.77	0.32	0.47	0.44
KN805792.1	275403	0.51	0.53	0.53	0.24	0.15	0.28	0.56	0.93
KN805796.1	385819	0.91	0.60	0.80	1.00	0.84	0.70	0.59	0.78
KN805797.1	214	0.29	0.52	0.36	0.76	0.65	0.38	0.32	0.89
KN805806.1	202789	0.90	0.87	0.85	0.92	0.78	0.87	0.92	0.92
KN805806.1	202796	0.56	0.83	0.72	0.52	0.56	0.73	0.59	0.42
KN805807.1	268892	0.75	0.87	0.62	0.42	0.84	0.75	0.55	0.84
KN805809.1	332676	0.20	0.43	0.40	0.30	0.58	0.25	0.33	0.23
KN805812.1	171345	0.74	0.83	0.77	0.68	0.86	0.89	0.82	0.42
KN805813.1	141351	0.60	0.53	0.38	0.54	0.50	0.41	0.28	0.77
KN805813.1	141375	0.80	0.95	0.65	0.75	0.86	0.55	0.74	0.77
KN805813.1	157881	0.79	0.87	0.94	0.91	0.69	0.85	0.79	1.00
