chr	pos	N_5-N1	N_5-N2	N_5-N3	S_5-S3	S_5-S4	S_5-S2	S_5-S1
JXMV01055283.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01055283.1:1:11536:1 REF	4650	0.47	0.57	0.48	0.70	0.78	0.64	0.67
JXMV01057965.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01057965.1:1:8094:1 REF	3488	1.00	0.90	0.92	1.00	1.00	0.97	1.00
JXMV01057965.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01057965.1:1:8094:1 REF	3494	0.97	0.81	0.58	0.21	1.00	0.10	1.00
JXMV01059847.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01059847.1:1:5882:1 REF	2053	0.70	0.41	0.18	0.23	0.85	0.36	1.00
JXMV01059847.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01059847.1:1:5882:1 REF	2091	1.00	0.59	0.27	0.33	0.86	0.62	1.00
JXMV01063433.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01063433.1:1:2250:1 REF	959	0.82	0.72	0.79	0.56	0.77	0.62	1.00
JXMV01063433.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01063433.1:1:2250:1 REF	962	0.81	0.74	0.83	0.58	0.86	0.85	0.97
JXMV01064167.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064167.1:1:13917:1 REF	11880	0.91	1.00	0.98	1.00	0.86	0.42	0.77
JXMV01064167.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064167.1:1:13917:1 REF	11900	0.85	0.45	0.52	0.38	0.89	0.69	0.76
JXMV01064171.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064171.1:1:13576:1 REF	3112	0.76	1.00	0.86	0.91	0.96	0.78	0.69
JXMV01064187.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064187.1:1:12236:1 REF	3481	0.95	0.97	1.00	0.92	0.65	0.98	0.46
JXMV01064276.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064276.1:1:7669:1 REF	217	0.88	0.89	0.56	0.50	0.93	0.52	1.00
JXMV01064333.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064333.1:1:9054:1 REF	3657	0.18	0.67	0.84	0.57	0.85	0.45	0.68
JXMV01064366.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064366.1:1:8660:1 REF	1919	1.00	0.46	0.97	0.67	0.42	0.86	1.00
JXMV01064366.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064366.1:1:8660:1 REF	1998	1.00	1.00	0.97	1.00	0.97	0.97	0.99
JXMV01064423.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064423.1:1:5793:1 REF	10	0.91	0.71	0.86	1.00	0.76	0.49	1.00
JXMV01064423.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064423.1:1:5793:1 REF	31	0.87	0.55	1.00	0.97	0.89	0.16	1.00
JXMV01064423.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064423.1:1:5793:1 REF	34	0.87	0.70	0.93	1.00	0.83	0.16	1.00
JXMV01064423.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064423.1:1:5793:1 REF	41	0.86	0.61	0.95	0.97	1.00	0.16	1.00
JXMV01064423.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064423.1:1:5793:1 REF	57	0.70	0.56	0.64	0.84	0.82	0.52	1.00
JXMV01064440.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064440.1:1:5574:1 REF	5444	0.50	0.58	0.50	0.89	0.78	0.64	0.62
JXMV01064449.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064449.1:1:5500:1 REF	74	0.35	0.47	0.21	0.31	0.96	0.67	1.00
JXMV01064449.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064449.1:1:5500:1 REF	5026	0.90	0.86	0.25	1.00	0.91	1.00	0.38
JXMV01064453.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064453.1:1:5635:1 REF	105	0.75	0.61	0.59	0.79	0.68	0.70	0.61
JXMV01064459.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064459.1:1:5365:1 REF	5286	0.66	0.56	0.77	0.94	0.79	0.26	1.00
JXMV01064500.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064500.1:1:5015:1 REF	4894	1.00	0.86	1.00	0.95	0.98	0.98	1.00
